"","coach","order_id","pick","player_id","position","round","time","min"
"1","RICHO",1,1,297373,"MID",1,"2025-02-22 18:59:13",
"2","LESTER",2,2,1023261,"MID",1,"2025-02-22 18:59:40",27
"3","KAPPAZ",3,3,1004965,"RUC",1,"2025-02-22 19:00:05",25
"4","GARTER",4,4,1006121,"MID",1,"2025-02-22 19:00:25",20
"5","MELONS",5,5,290528,"RUC",1,"2025-02-22 19:00:45",20
"6","CHIEF",6,6,1009260,"DEF",1,"2025-02-22 19:01:02",17
"7","PMAC",7,7,1009420,"MID",1,"2025-02-22 19:01:22",20
"8","JMERC",8,8,1011640,"FWD",1,"2025-02-22 19:02:32",70
"9","RICHO",1,9,1023518,"DEF",2,"2025-02-22 19:04:10",98
"10","LESTER",2,10,992016,"MID",2,"2025-02-22 19:04:43",33
"11","KAPPAZ",3,11,1002232,"MID",2,"2025-02-22 19:05:56",73
"12","GARTER",4,12,293535,"MID",2,"2025-02-22 19:06:20",24
"13","MELONS",5,13,1009399,"FWD",2,"2025-02-22 19:07:07",47
"14","CHIEF",6,14,998659,"DEF",2,"2025-02-22 19:07:47",40
"15","PMAC",7,15,992468,"RUC",2,"2025-02-22 19:08:20",33
"16","JMERC",8,16,295467,"FWD",2,"2025-02-22 19:08:50",30
"17","JMERC",8,17,294305,"DEF",3,"2025-02-22 19:09:30",40
"18","PMAC",7,18,1004592,"RUC",3,"2025-02-22 19:09:56",26
"19","CHIEF",6,19,298539,"MID",3,"2025-02-22 19:10:51",55
"20","MELONS",5,20,1015889,"DEF",3,"2025-02-22 19:11:36",45
"21","GARTER",4,21,990291,"RUC",3,"2025-02-22 19:12:07",31
"22","KAPPAZ",3,22,1001195,"FWD",3,"2025-02-22 19:12:37",30
"23","LESTER",2,23,1002267,"MID",3,"2025-02-22 19:13:03",26
"24","RICHO",1,24,293957,"RUC",3,"2025-02-22 19:14:45",102
"25","RICHO",1,25,1006094,"MID",4,"2025-02-22 19:15:12",27
"26","LESTER",2,26,261224,"DEF",4,"2025-02-22 19:15:48",36
"27","KAPPAZ",3,27,298174,"RUC",4,"2025-02-22 19:16:16",28
"28","GARTER",4,28,1004912,"RUC",4,"2025-02-22 19:16:48",32
"29","MELONS",5,29,1013128,"MID",4,"2025-02-22 19:17:30",42
"30","CHIEF",6,30,1000980,"RUC",4,"2025-02-22 19:18:14",44
"31","PMAC",7,31,993834,"MID",4,"2025-02-22 19:18:32",18
"32","JMERC",8,32,1008436,"RUC",4,"2025-02-22 19:19:08",36
"33","JMERC",8,33,990704,"MID",5,"2025-02-22 19:19:58",50
"34","PMAC",7,34,994295,"DEF",5,"2025-02-22 19:20:29",31
"35","CHIEF",6,35,291975,"RUC",5,"2025-02-22 19:21:17",48
"36","MELONS",5,36,1006314,"FWD",5,"2025-02-22 19:21:57",40
"37","GARTER",4,37,1012013,"DEF",5,"2025-02-22 19:22:17",20
"38","KAPPAZ",3,38,992242,"MID",5,"2025-02-22 19:23:31",74
"39","LESTER",2,39,1009199,"MID",5,"2025-02-22 19:23:59",28
"40","RICHO",1,40,994389,"DEF",5,"2025-02-22 19:25:43",104
"41","RICHO",1,41,298210,"MID",6,"2025-02-22 19:27:06",83
"42","LESTER",2,42,1006130,"FWD",6,"2025-02-22 19:27:26",20
"43","KAPPAZ",3,43,1015507,"DEF",6,"2025-02-22 19:28:09",43
"44","GARTER",4,44,1006152,"DEF",6,"2025-02-22 19:28:36",27
"45","MELONS",5,45,1009528,"MID",6,"2025-02-22 19:29:19",43
"46","CHIEF",6,46,296205,"MID",6,"2025-02-22 19:30:05",46
"47","PMAC",7,47,291800,"DEF",6,"2025-02-22 19:30:24",19
"48","JMERC",8,48,996701,"MID",6,"2025-02-22 19:30:42",18
"49","JMERC",8,49,1001299,"MID",7,"2025-02-22 19:31:46",64
"50","PMAC",7,50,293222,"MID",7,"2025-02-22 19:32:15",29
"51","CHIEF",6,51,1012014,"MID",7,"2025-02-22 19:32:53",38
"52","MELONS",5,52,1008550,"MID",7,"2025-02-22 19:33:23",30
"53","GARTER",4,53,1000223,"FWD",7,"2025-02-22 19:34:10",47
"54","KAPPAZ",3,54,1020895,"MID",7,"2025-02-22 19:34:44",34
"55","LESTER",2,55,1008280,"MID",7,"2025-02-22 19:35:12",28
"56","RICHO",1,56,298272,"MID",7,"2025-02-22 19:36:06",54
"57","RICHO",1,57,295136,"FWD",8,"2025-02-22 19:36:47",41
"58","LESTER",2,58,297523,"RUC",8,"2025-02-22 19:38:05",78
"59","KAPPAZ",3,59,1009256,"MID",8,"2025-02-22 19:38:47",42
"60","GARTER",4,60,1009208,"MID",8,"2025-02-22 19:39:10",23
"61","MELONS",5,61,297566,"DEF",8,"2025-02-22 19:39:32",22
"62","CHIEF",6,62,1001026,"DEF",8,"2025-02-22 19:41:45",133
"63","PMAC",7,63,996708,"DEF",8,"2025-02-22 19:42:16",31
"64","JMERC",8,64,993905,"DEF",8,"2025-02-22 19:43:16",60
"65","JMERC",8,65,998172,"MID",9,"2025-02-22 19:43:55",39
"66","PMAC",7,66,296347,"MID",9,"2025-02-22 19:44:22",27
"67","CHIEF",6,67,1000978,"MID",9,"2025-02-22 19:45:02",40
"68","MELONS",5,68,1023517,"MID",9,"2025-02-22 19:45:29",27
"69","GARTER",4,69,992049,"DEF",9,"2025-02-22 19:45:46",17
"70","KAPPAZ",3,70,1005054,"MID",9,"2025-02-22 19:46:25",39
"71","LESTER",2,71,1005521,"RUC",9,"2025-02-22 19:47:28",63
"72","RICHO",1,72,1006028,"DEF",9,"2025-02-22 19:48:48",80
"73","RICHO",1,73,1009378,"DEF",10,"2025-02-22 19:49:43",55
"74","LESTER",2,74,294674,"DEF",10,"2025-02-22 19:50:46",63
"75","KAPPAZ",3,75,1006103,"MID",10,"2025-02-22 19:51:21",35
"76","GARTER",4,76,1000981,"DEF",10,"2025-02-22 19:52:06",45
"77","MELONS",5,77,297401,"MID",10,"2025-02-22 19:52:56",50
"78","CHIEF",6,78,1024272,"DEF",10,"2025-02-22 19:54:07",71
"79","PMAC",7,79,1004938,"FWD",10,"2025-02-22 19:55:03",56
"80","JMERC",8,80,992330,"RUC",10,"2025-02-22 19:55:39",36
"81","JMERC",8,81,1017939,"FWD",11,"2025-02-22 19:56:06",27
"82","PMAC",7,82,296324,"FWD",11,"2025-02-22 19:56:20",14
"83","CHIEF",6,83,1002251,"FWD",11,"2025-02-22 19:58:21",121
"84","MELONS",5,84,993998,"FWD",11,"2025-02-22 19:58:40",19
"85","GARTER",4,85,1000953,"FWD",11,"2025-02-22 19:59:10",30
"86","KAPPAZ",3,86,998205,"DEF",11,"2025-02-22 19:59:34",24
"87","LESTER",2,87,1023266,"MID",11,"2025-02-22 20:00:50",76
"88","RICHO",1,88,295898,"MID",11,"2025-02-22 20:01:48",58
"89","RICHO",1,89,294318,"MID",12,"2025-02-22 20:02:44",56
"90","LESTER",2,90,298268,"DEF",12,"2025-02-22 20:03:52",68
"91","KAPPAZ",3,91,990827,"FWD",12,"2025-02-22 20:04:32",40
"92","GARTER",4,92,290778,"FWD",12,"2025-02-22 20:05:09",37
"93","MELONS",5,93,998102,"DEF",12,"2025-02-22 20:05:58",49
"94","CHIEF",6,94,294859,"DEF",12,"2025-02-22 20:06:28",30
"95","PMAC",7,95,290799,"MID",12,"2025-02-22 20:06:46",18
"96","JMERC",8,96,296422,"DEF",12,"2025-02-22 20:07:27",41
"97","JMERC",8,97,1017094,"FWD",13,"2025-02-22 20:15:42",495
"98","PMAC",7,98,993993,"FWD",13,"2025-02-22 20:16:32",50
"99","CHIEF",6,99,293845,"FWD",13,"2025-02-22 20:18:43",131
"100","MELONS",5,100,996731,"FWD",13,"2025-02-22 20:19:31",48
"101","GARTER",4,101,1005144,"MID",13,"2025-02-22 20:20:18",47
"102","KAPPAZ",3,102,294036,"MID",13,"2025-02-22 20:20:48",30
"103","LESTER",2,103,1012210,"DEF",13,"2025-02-22 20:21:27",39
"104","RICHO",1,104,1004863,"DEF",13,"2025-02-22 20:22:39",72
"105","RICHO",1,105,296420,"FWD",14,"2025-02-22 20:23:40",61
"106","LESTER",2,106,1017109,"MID",14,"2025-02-22 20:24:31",51
"107","KAPPAZ",3,107,993107,"DEF",14,"2025-02-22 20:25:16",45
"108","GARTER",4,108,993817,"MID",14,"2025-02-22 20:26:18",62
"109","MELONS",5,109,291790,"MID",14,"2025-02-22 20:26:49",31
"110","CHIEF",6,110,1001398,"FWD",14,"2025-02-22 20:29:30",161
"111","PMAC",7,111,1002239,"MID",14,"2025-02-22 20:29:49",19
"112","JMERC",8,112,1002253,"DEF",14,"2025-02-22 20:30:31",42
"113","JMERC",8,113,1017126,"FWD",15,"2025-02-22 20:30:59",28
"114","PMAC",7,114,1003130,"FWD",15,"2025-02-22 20:31:46",47
"115","CHIEF",6,115,1006126,"MID",15,"2025-02-22 20:33:57",131
"116","MELONS",5,116,1015810,"MID",15,"2025-02-22 20:34:39",42
"117","GARTER",4,117,295518,"MID",15,"2025-02-22 20:35:30",51
"118","KAPPAZ",3,118,997078,"DEF",15,"2025-02-22 20:36:05",35
"119","LESTER",2,119,1009191,"DEF",15,"2025-02-22 20:37:10",65
"120","RICHO",1,120,1005577,"RUC",15,"2025-02-22 20:38:32",82
"121","RICHO",1,121,295340,"FWD",16,"2025-02-22 20:39:36",64
"122","LESTER",2,122,1012862,"FWD",16,"2025-02-22 20:40:01",25
"123","KAPPAZ",3,123,1006013,"MID",16,"2025-02-22 20:40:34",33
"124","GARTER",4,124,1009253,"DEF",16,"2025-02-22 20:42:04",90
"125","MELONS",5,125,998145,"RUC",16,"2025-02-22 20:43:13",69
"126","CHIEF",6,126,1002404,"FWD",16,"2025-02-22 20:46:12",179
"127","PMAC",7,127,297354,"DEF",16,"2025-02-22 20:46:49",37
"128","JMERC",8,128,295461,"DEF",16,"2025-02-22 20:47:19",30
"129","JMERC",8,129,1012819,"FWD",17,"2025-02-22 20:48:00",41
"130","PMAC",7,130,1007881,"DEF",17,"2025-02-22 20:48:58",58
"131","CHIEF",6,131,1002222,"MID",17,"2025-02-22 20:51:03",125
"132","MELONS",5,132,1013464,"DEF",17,"2025-02-22 20:51:30",27
"133","GARTER",4,133,291902,"MID",17,"2025-02-22 20:51:45",15
"134","KAPPAZ",3,134,1008384,"FWD",17,"2025-02-22 20:52:15",30
"135","LESTER",2,135,1023500,"FWD",17,"2025-02-22 20:52:40",25
"136","RICHO",1,136,1000972,"MID",17,"2025-02-22 20:53:51",71
"137","RICHO",1,137,996554,"FWD",18,"2025-02-22 20:54:57",66
"138","LESTER",2,138,281085,"DEF",18,"2025-02-22 20:56:06",69
"139","KAPPAZ",3,139,293871,"MID",18,"2025-02-22 20:56:55",49
"140","GARTER",4,140,295344,"FWD",18,"2025-02-22 20:57:18",23
"141","MELONS",5,141,1009229,"DEF",18,"2025-02-22 20:57:51",33
"142","CHIEF",6,142,998134,"DEF",18,"2025-02-22 20:59:41",110
"143","PMAC",7,143,996765,"FWD",18,"2025-02-22 21:00:10",29
"144","JMERC",8,144,1023492,"MID",18,"2025-02-22 21:01:13",63
"145","JMERC",8,145,1011659,"MID",19,"2025-02-22 21:01:39",26
"146","PMAC",7,146,260257,"MID",19,"2025-02-22 21:02:00",21
"147","CHIEF",6,147,292128,"MID",19,"2025-02-22 21:02:56",56
"148","MELONS",5,148,291969,"MID",19,"2025-02-22 21:03:36",40
"149","GARTER",4,149,994185,"MID",19,"2025-02-22 21:03:52",16
"150","KAPPAZ",3,150,1027704,"DEF",19,"2025-02-22 21:04:18",26
"151","LESTER",2,151,1013409,"FWD",19,"2025-02-22 21:04:52",34
"152","RICHO",1,152,993946,"FWD",19,"2025-02-22 21:05:43",51
"153","RICHO",1,153,1021013,"RUC",20,"2025-02-22 21:06:51",68
