"feed_id","first_name","last_name","team","pos","pos1","pos2","games","total","average","price","full_name","player_name","number","career_games","dob","age","priced_avg","def","mid","ruc","fwd","scr","pos_scr","scr_pos","weight","scr_wgt","supercoach","adj_sc","injured"
295467,"Jack","Macrae","WBD","MID","MID",,22,2829,128.59,699900,"Jack Macrae","J.Macrae",11,186,1994-08-03,28,127.9,FALSE,TRUE,FALSE,FALSE,3.012,2.385,"MID",0.391,2.766843,138,133,""
296205,"Jack","Steele","STK","MID","MID",,22,2772,126,685800,"Jack Steele","J.Steele",9,119,1995-12-13,27,125.3,FALSE,TRUE,FALSE,FALSE,2.793,2.182,"MID",0.391,2.554099,89,85,""
298272,"Touk","Miller","GCS","MID","MID",,21,2615,124.52,677800,"Touk Miller","T.Miller",11,138,1996-02-22,26,123.8,FALSE,TRUE,FALSE,FALSE,2.667,2.065,"MID",0.391,2.431618,149,149,""
996701,"Clayton","Oliver","MEL","MID","MID",,22,2716,123.45,672000,"Clayton Oliver","C.Oliver",13,125,1997-07-22,25,122.8,FALSE,TRUE,FALSE,FALSE,2.583,1.987,"MID",0.391,2.349964,104,91,""
290528,"Max","Gawn","MEL","RUC","RUC",,22,2657,120.77,657400,"Max Gawn","M.Gawn",11,160,1991-12-30,31,120.1,FALSE,FALSE,TRUE,FALSE,2.356,1.833,"RUC",0.087,2.310499,133,118,""
998145,"Sean","Darcy","FRE","RUC","RUC",,21,2479,118.05,642600,"Sean Darcy","S.Darcy",4,62,1998-06-12,24,117.4,FALSE,FALSE,TRUE,FALSE,2.128,1.599,"RUC",0.087,2.081977,95,93,""
297373,"Marcus","Bontempelli","WBD","MID","MID",,22,2634,119.73,651700,"Marcus Bontempelli","M.Bontempelli",4,172,1995-11-24,27,119.1,FALSE,TRUE,FALSE,FALSE,2.271,1.697,"MID",0.391,2.046566,99,89,""
293716,"Jarryd","Lyons","BRL","MID","MID",,22,2587,117.59,640100,"Jarryd Lyons","J.Lyons",17,162,1992-07-22,30,116.9,FALSE,TRUE,FALSE,FALSE,2.086,1.525,"MID",0.391,1.866649,94,98,""
271045,"Nic","Naitanui","WCE","RUC","RUC",,22,2536,115.27,627400,"Nic Naitanui","N.Naitanui",9,207,1990-05-04,32,114.6,FALSE,FALSE,TRUE,FALSE,1.892,1.356,"RUC",0.087,1.845368,65,87,""
293957,"Brodie","Grundy","COL","RUC","RUC",,20,2304,115.2,627100,"Brodie Grundy","B.Grundy",4,171,1994-04-15,28,114.6,FALSE,FALSE,TRUE,FALSE,1.892,1.356,"RUC",0.087,1.845368,117,114,""
