feed_id,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position
295467,714,Jack,Macrae,WBD,MID,NA,1,NA,133,133,133,133,699900,11125,Sloane Andreas,Simon,TRUE,scoring,MID
296205,643,Jack,Steele,STK,MID,NA,1,NA,87,87,87,87,685800,10882,Take Me To Parish,James,TRUE,scoring,MID
298272,292,Touk,Miller,GCS,MID,NA,1,NA,137,137,137,137,677800,5535,We're the Millers,Paul,TRUE,scoring,MID
996701,463,Clayton,Oliver,MEL,MID,NA,1,NA,112,112,112,112,672000,63015,Wolf of Walsh St,Jordan,TRUE,scoring,MID
290528,447,Max,Gawn,MEL,RUC,NA,1,NA,92,92,92,92,657400,14003,Gov Is In The Air,Luke,TRUE,scoring,RUC
297373,693,Marcus,Bontempelli,WBD,FWD,MID,1,NA,105,105,105,105,651700,10836,Cumming for the DB,Anthony,TRUE,scoring,MID
998145,232,Sean,Darcy,FRE,RUC,NA,1,NA,NA,0,0,0,642600,63015,Wolf of Walsh St,Jordan,FALSE,nonscoring,RUC
293716,65,Jarryd,Lyons,BRL,MID,NA,1,NA,87,87,87,87,640100,10836,Cumming for the DB,Anthony,TRUE,scoring,MID
291856,419,Tom,Mitchell,HAW,MID,NA,1,NA,80,80,80,80,638100,10836,Cumming for the DB,Anthony,TRUE,scoring,MID
1006094,128,Sam,Walsh,CAR,MID,NA,1,NA,NA,0,0,0,637100,10883,Love is Hind,Lester,FALSE,nonscoring,MID
293222,19,Rory,Laird,ADE,MID,NA,1,NA,NA,0,0,0,632600,10836,Cumming for the DB,Anthony,FALSE,nonscoring,MID
271045,757,Nic,Naitanui,WCE,RUC,NA,1,NA,63,63,63,63,627400,10882,Take Me To Parish,James,TRUE,scoring,RUC
293957,149,Brodie,Grundy,COL,RUC,NA,1,NA,124,124,124,124,627100,10883,Love is Hind,Lester,TRUE,scoring,RUC
992016,203,Zach,Merrett,ESS,MID,NA,1,NA,113,113,113,113,625700,14003,Gov Is In The Air,Luke,TRUE,scoring,MID
