feed_id,season,round,pts,median,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position,na_flg,na_streak,pts_adj,median_adj,median_fnl,n,scr,pos_scr,scr_pos,weight,scr_wgt,rank,x
298272,2022,2,140,140,292,Touk,Miller,GCS,MID,,,140,138.5,138.5,138.5,677800,5535,We're the Millers,Paul,TRUE,scoring,MID,FALSE,13,140,140,140,1,3.615,3.067,MID,0.391,3.4007320000000005,1,ELITE
295467,2022,2,142,136,714,Jack,Macrae,WBD,MID,,,142,137.5,137.5,137.5,699900,11125,No Way Sloane,Simon,TRUE,scoring,MID,FALSE,12,142,136,136,1,3.299,2.761,MID,0.391,3.088642,2,ELITE
296205,2022,2,111,132,643,Jack,Steele,STK,MID,,,111,99,99,99,685800,10882,Take Me To Parish,James,TRUE,scoring,MID,FALSE,11,111,132,132,1,2.982,2.455,MID,0.391,2.775943,3,ELITE
296735,2022,2,123,123,496,Aaron,Hall,NTH,DEF,,,123,126,126,126,572900,11125,No Way Sloane,Simon,TRUE,scoring,DEF,FALSE,13,123,123,123,1,2.271,2.977,DEF,0.261,2.455266,4,ELITE
298210,2022,2,129,125,464,Christian,Petracca,MEL,MID,,,129,146,146,146,606200,10834,Dunkley's Donuts,Mark,TRUE,scoring,MID,FALSE,11,129,125,125,1,2.429,1.919,MID,0.391,2.22959,5,ELITE
271072,2022,2,124,119,78,Daniel,Rich,BRL,DEF,,,124,97.5,97.5,97.5,582700,63015,Wolf of Walsh St,Jordan,TRUE,scoring,DEF,FALSE,12,124,119,119,1,1.955,2.585,DEF,0.261,2.11943,6,ELITE
998145,2022,2,72,120,232,Sean,Darcy,FRE,RUC,,,72,72,72,72,642600,63015,Wolf of Walsh St,Jordan,TRUE,scoring,RUC,FALSE,1,72,116,120,1,2.034,2.104,RUC,0.087,2.0400899999999997,7,ELITE
994185,2022,2,95,114,144,Jordan,De Goey,COL,MID,FWD,,95,103,103,103,463500,63015,Wolf of Walsh St,Jordan,TRUE,scoring,FWD,FALSE,10,95,111,114,1,1.56,2.964,FWD,0.261,1.926444,8,ELITE
291856,2022,2,82,118,419,Tom,Mitchell,HAW,MID,,,82,81,81,81,638100,10836,Cumming for the DB,Anthony,TRUE,scoring,MID,FALSE,13,82,118,118,1,1.876,1.383,MID,0.391,1.6832369999999999,9,ELITE
996701,2022,2,121,118,463,Clayton,Oliver,MEL,MID,,,121,116.5,116.5,116.5,672000,63015,Wolf of Walsh St,Jordan,TRUE,scoring,MID,FALSE,11,121,118,118,1,1.876,1.383,MID,0.391,1.6832369999999999,10,ELITE
