"coach","wins","draws","losses","total_points","position","simulation"
"Lester",15,0,6,36368,1,1
"Anthony",14,0,7,35892,2,1
"Paul",13,0,8,36715,3,1
"Luke",10,0,11,34745,4,1
"Mark",9,0,12,35024,5,1
"Simon",9,0,12,33920,6,1
"James",7,0,14,34327,7,1
"Jordan",7,0,14,33168,8,1
"Paul",14,0,7,36198,1,2
"Lester",13,0,8,36786,2,2
"Anthony",11,0,10,34967,3,2
"James",11,0,10,34284,4,2
"Mark",10,0,11,35352,5,2
"Luke",10,0,11,34370,6,2
"Jordan",8,0,13,33358,7,2
"Simon",7,0,14,33803,8,2
"Lester",15,0,6,36874,1,3
"Paul",12,0,9,36607,2,3
"Luke",12,0,9,34903,3,3
"Mark",11,0,10,35712,4,3
"Anthony",11,0,10,34794,5,3
"Jordan",9,0,12,33763,6,3
"James",7,0,14,34783,7,3
"Simon",7,0,14,33781,8,3
"Lester",17,0,4,37067,1,4
"Paul",15,0,6,37503,2,4
"Luke",11,0,10,34722,3,4
"James",11,0,10,34607,4,4
"Anthony",10,0,11,35349,5,4
"Mark",10,0,11,35213,6,4
"Jordan",7,0,14,32525,7,4
"Simon",3,0,18,33040,8,4
"Lester",15,0,6,36904,1,5
"Luke",13,0,8,35027,2,5
"Anthony",12,0,9,35528,3,5
"Paul",11,0,10,36568,4,5
"Mark",10,0,11,35019,5,5
"Jordan",9,0,12,33475,6,5
"James",8,0,13,34641,7,5
"Simon",6,0,15,32587,8,5
"Paul",14,0,7,36581,1,6
"Anthony",14,0,7,35375,2,6
"Jordan",13,0,8,34167,3,6
"Lester",11,0,10,35695,4,6
"Luke",10,0,11,35074,5,6
"Mark",9,0,12,34815,6,6
"Simon",7,0,14,33847,7,6
"James",6,0,15,34028,8,6
"Paul",17,0,4,37655,1,7
"Lester",15,0,6,36842,2,7
"Anthony",11,0,10,35659,3,7
"Mark",10,0,11,36167,4,7
"Luke",9,0,12,34516,5,7
"Simon",9,0,12,34197,6,7
"James",7,0,14,34427,7,7
"Jordan",6,0,15,33058,8,7
"Anthony",15,0,6,35669,1,8
"Mark",13,0,8,35507,2,8
