SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS,SC COACH
2017,1,Show Me The Mundy,L.Breust,HAW,FWD,83,71,PMAC
2017,1,Show Me The Mundy,J.Macrae,WBD,FWD,90,92,PMAC
2017,1,Show Me The Mundy,J.Lewis,MEL,MID,109,104,PMAC
2017,1,Show Me The Mundy,S.Docherty,CAR,DEF,102,91,PMAC
2017,1,Show Me The Mundy,Z.Jones,SYD,DEF,57,95,PMAC
2017,1,Show Me The Mundy,J.P.Kennedy,SYD,MID,118,134,PMAC
2017,1,Show Me The Mundy,T.Greene,GWS,FWD,78,72,PMAC
2017,1,Show Me The Mundy,D.Shiel,GWS,MID,98,75,PMAC
2017,1,Show Me The Mundy,A.Young,PTA,FWD,67,103,PMAC
2017,1,Show Me The Mundy,P.Ryder,PTA,FWD,94,87,PMAC
2017,1,Show Me The Mundy,M.Barlow,GCS,MID,106,106,PMAC
2017,1,Show Me The Mundy,J.Kelly,ESS,DEF,95,74,PMAC
2017,1,Show Me The Mundy,A.Sandilands,FRE,RUC,73,107,PMAC
2017,1,Show Me The Mundy,D.Mundy,FRE,MID,91,104,PMAC
2017,1,Show Me The Mundy,A.Rance,RIC,DEF,83,59,PMAC
2017,1,Show Me The Mundy,D.Armitage,STK,MID,84,74,PMAC
2017,1,Show Me The Mundy,C.Hampton,ADE,DEF,50,50,PMAC
2017,1,Show Me The Mundy,A.Gaff,WCE,MID,89,119,PMAC
2017,1,Show Me The Mundy,L.Hodge,HAW,BEN,103,0,PMAC
2017,1,Show Me The Mundy,L.Shiels,HAW,BEN,66,77,PMAC
2017,1,Show Me The Mundy,M.Duncan,GEE,BEN,92,118,PMAC
2017,1,Show Me The Mundy,J.Pittard,PTA,BEN,84,0,PMAC
2017,2,Show Me The Mundy,L.Hodge,HAW,DEF,101,77,PMAC
2017,2,Show Me The Mundy,J.Macrae,WBD,FWD,91,98,PMAC
2017,2,Show Me The Mundy,W.Hoskin-Elliott,COL,FWD,80,120,PMAC
2017,2,Show Me The Mundy,J.Lewis,MEL,MID,104,78,PMAC
2017,2,Show Me The Mundy,S.Docherty,CAR,DEF,105,124,PMAC
2017,2,Show Me The Mundy,Z.Jones,SYD,DEF,57,55,PMAC
2017,2,Show Me The Mundy,J.P.Kennedy,SYD,MID,113,89,PMAC
2017,2,Show Me The Mundy,M.Duncan,GEE,MID,93,99,PMAC
2017,2,Show Me The Mundy,T.Greene,GWS,FWD,86,138,PMAC
2017,2,Show Me The Mundy,D.Shiel,GWS,MID,105,132,PMAC
2017,2,Show Me The Mundy,A.Young,PTA,FWD,67,78,PMAC
2017,2,Show Me The Mundy,P.Ryder,PTA,FWD,88,75,PMAC
2017,2,Show Me The Mundy,M.Barlow,GCS,MID,104,87,PMAC
2017,2,Show Me The Mundy,J.Kelly,ESS,DEF,86,56,PMAC
2017,2,Show Me The Mundy,A.Sandilands,FRE,RUC,73,71,PMAC
2017,2,Show Me The Mundy,D.Mundy,FRE,MID,91,92,PMAC
2017,2,Show Me The Mundy,A.Rance,RIC,DEF,83,99,PMAC
2017,2,Show Me The Mundy,A.Gaff,WCE,MID,90,92,PMAC
2017,2,Show Me The Mundy,L.Shiels,HAW,BEN,64,62,PMAC
2017,2,Show Me The Mundy,J.Pittard,PTA,BEN,81,0,PMAC
2017,2,Show Me The Mundy,S.Grigg,RIC,BEN,84,69,PMAC
2017,2,Show Me The Mundy,D.Armitage,STK,BEN,91,0,PMAC
2017,3,Show Me The Mundy,L.Hodge,HAW,DEF,98,78,PMAC
2017,3,Show Me The Mundy,J.Macrae,WBD,FWD,94,108,PMAC
2017,3,Show Me The Mundy,W.Hoskin-Elliott,COL,FWD,85,71,PMAC
2017,3,Show Me The Mundy,S.Docherty,CAR,DEF,105,111,PMAC
2017,3,Show Me The Mundy,Z.Jones,SYD,DEF,65,103,PMAC
2017,3,Show Me The Mundy,J.P.Kennedy,SYD,MID,112,107,PMAC
2017,3,Show Me The Mundy,M.Duncan,GEE,MID,98,120,PMAC
2017,3,Show Me The Mundy,T.Greene,GWS,FWD,87,92,PMAC
2017,3,Show Me The Mundy,D.Shiel,GWS,MID,103,86,PMAC
2017,3,Show Me The Mundy,P.Ryder,PTA,FWD,90,87,PMAC
2017,3,Show Me The Mundy,A.Young,PTA,FWD,59,29,PMAC
2017,3,Show Me The Mundy,M.Barlow,GCS,MID,105,101,PMAC
2017,3,Show Me The Mundy,J.Kelly,ESS,DEF,85,89,PMAC
2017,3,Show Me The Mundy,A.Sandilands,FRE,RUC,79,103,PMAC
2017,3,Show Me The Mundy,D.Mundy,FRE,MID,101,143,PMAC
2017,3,Show Me The Mundy,A.Rance,RIC,DEF,87,121,PMAC
2017,3,Show Me The Mundy,S.Ross,STK,MID,89,99,PMAC
2017,3,Show Me The Mundy,A.Gaff,WCE,MID,96,123,PMAC
2017,3,Show Me The Mundy,J.Lewis,MEL,BEN,103,0,PMAC
2017,3,Show Me The Mundy,J.Pittard,PTA,BEN,83,0,PMAC
2017,3,Show Me The Mundy,K.Kolodjashnij,GCS,BEN,73,89,PMAC
2017,3,Show Me The Mundy,D.Armitage,STK,BEN,85,0,PMAC
2017,4,Show Me The Mundy,J.Macrae,WBD,FWD,96,107,PMAC
2017,4,Show Me The Mundy,W.Hoskin-Elliott,COL,FWD,90,70,PMAC
2017,4,Show Me The Mundy,S.Docherty,CAR,DEF,105,108,PMAC
2017,4,Show Me The Mundy,J.P.Kennedy,SYD,MID,112,113,PMAC
2017,4,Show Me The Mundy,Z.Jones,SYD,DEF,68,72,PMAC
2017,4,Show Me The Mundy,M.Duncan,GEE,MID,104,125,PMAC
2017,4,Show Me The Mundy,D.Shiel,GWS,MID,105,111,PMAC
2017,4,Show Me The Mundy,T.Greene,GWS,FWD,86,84,PMAC
2017,4,Show Me The Mundy,J.Pittard,PTA,DEF,84,93,PMAC
2017,4,Show Me The Mundy,A.Young,PTA,FWD,56,60,PMAC
2017,4,Show Me The Mundy,J.Harbrow,GCS,DEF,88,101,PMAC
2017,4,Show Me The Mundy,M.Barlow,GCS,MID,90,27,PMAC
2017,4,Show Me The Mundy,D.Mundy,FRE,MID,106,121,PMAC
2017,4,Show Me The Mundy,A.Sandilands,FRE,RUC,83,91,PMAC
2017,4,Show Me The Mundy,A.Rance,RIC,DEF,79,55,PMAC
2017,4,Show Me The Mundy,K.Lambert,RIC,FWD,63,42,PMAC
2017,4,Show Me The Mundy,S.Ross,STK,MID,91,100,PMAC
2017,4,Show Me The Mundy,A.Gaff,WCE,MID,93,78,PMAC
2017,4,Show Me The Mundy,L.Hodge,HAW,BEN,105,116,PMAC
2017,4,Show Me The Mundy,J.Lewis,MEL,BEN,103,0,PMAC
2017,4,Show Me The Mundy,M.Wood,NTH,BEN,76,0,PMAC
2017,4,Show Me The Mundy,P.Ryder,PTA,BEN,90,0,PMAC
2017,5,Show Me The Mundy,L.Hodge,HAW,DEF,100,67,PMAC
2017,5,Show Me The Mundy,J.Macrae,WBD,FWD,101,121,PMAC
2017,5,Show Me The Mundy,W.Hoskin-Elliott,COL,FWD,90,51,PMAC
2017,5,Show Me The Mundy,M.Wood,NTH,FWD,75,73,PMAC
2017,5,Show Me The Mundy,S.Docherty,CAR,DEF,102,93,PMAC
2017,5,Show Me The Mundy,J.P.Kennedy,SYD,MID,107,91,PMAC
2017,5,Show Me The Mundy,M.Duncan,GEE,MID,107,107,PMAC
2017,5,Show Me The Mundy,T.Greene,GWS,FWD,91,118,PMAC
2017,5,Show Me The Mundy,D.Shiel,GWS,MID,100,75,PMAC
2017,5,Show Me The Mundy,P.Ryder,PTA,FWD,90,83,PMAC
2017,5,Show Me The Mundy,J.Pittard,PTA,DEF,81,77,PMAC
2017,5,Show Me The Mundy,M.Barlow,GCS,MID,93,112,PMAC
2017,5,Show Me The Mundy,J.Harbrow,GCS,DEF,86,67,PMAC
2017,5,Show Me The Mundy,A.Sandilands,FRE,RUC,88,101,PMAC
2017,5,Show Me The Mundy,D.Mundy,FRE,MID,107,98,PMAC
2017,5,Show Me The Mundy,A.Rance,RIC,DEF,76,81,PMAC
2017,5,Show Me The Mundy,S.Ross,STK,MID,97,123,PMAC
2017,5,Show Me The Mundy,A.Gaff,WCE,MID,91,79,PMAC
2017,5,Show Me The Mundy,J.Lewis,MEL,BEN,103,0,PMAC
2017,5,Show Me The Mundy,J.Waite,NTH,BEN,88,0,PMAC
2017,5,Show Me The Mundy,Z.Jones,SYD,BEN,78,115,PMAC
2017,5,Show Me The Mundy,J.Jenkins,ADE,BEN,58,0,PMAC
2017,6,Show Me The Mundy,J.Macrae,WBD,FWD,103,102,PMAC
2017,6,Show Me The Mundy,M.Wood,NTH,FWD,69,45,PMAC
2017,6,Show Me The Mundy,S.Docherty,CAR,DEF,113,149,PMAC
2017,6,Show Me The Mundy,J.P.Kennedy,SYD,MID,98,89,PMAC
2017,6,Show Me The Mundy,Z.Jones,SYD,DEF,79,93,PMAC
2017,6,Show Me The Mundy,M.Duncan,GEE,MID,106,113,PMAC
2017,6,Show Me The Mundy,D.Shiel,GWS,MID,106,103,PMAC
2017,6,Show Me The Mundy,T.Greene,GWS,FWD,94,92,PMAC
2017,6,Show Me The Mundy,J.Pittard,PTA,DEF,77,87,PMAC
2017,6,Show Me The Mundy,P.Ryder,PTA,FWD,92,95,PMAC
2017,6,Show Me The Mundy,J.Harbrow,GCS,DEF,95,114,PMAC
2017,6,Show Me The Mundy,M.Barlow,GCS,MID,87,79,PMAC
2017,6,Show Me The Mundy,D.Mundy,FRE,MID,99,61,PMAC
2017,6,Show Me The Mundy,A.Sandilands,FRE,RUC,88,105,PMAC
2017,6,Show Me The Mundy,A.Rance,RIC,DEF,85,106,PMAC
2017,6,Show Me The Mundy,S.Ross,STK,MID,111,105,PMAC
2017,6,Show Me The Mundy,J.Jenkins,ADE,FWD,49,55,PMAC
2017,6,Show Me The Mundy,A.Gaff,WCE,MID,87,98,PMAC
2017,6,Show Me The Mundy,L.Hodge,HAW,BEN,102,97,PMAC
2017,6,Show Me The Mundy,J.Lewis,MEL,BEN,101,88,PMAC
2017,6,Show Me The Mundy,J.Waite,NTH,BEN,88,0,PMAC
2017,6,Show Me The Mundy,D.Lang,GEE,BEN,55,71,PMAC
2017,7,Show Me The Mundy,L.Hodge,HAW,DEF,105,92,PMAC
2017,7,Show Me The Mundy,J.Macrae,WBD,FWD,107,117,PMAC
2017,7,Show Me The Mundy,J.Lewis,MEL,MID,101,98,PMAC
2017,7,Show Me The Mundy,N.Hrovat,NTH,FWD,83,75,PMAC
2017,7,Show Me The Mundy,J.Waite,NTH,FWD,117,190,PMAC
2017,7,Show Me The Mundy,S.Docherty,CAR,DEF,109,103,PMAC
2017,7,Show Me The Mundy,Z.Jones,SYD,DEF,93,143,PMAC
2017,7,Show Me The Mundy,J.P.Kennedy,SYD,MID,96,77,PMAC
2017,7,Show Me The Mundy,M.Duncan,GEE,MID,103,84,PMAC
2017,7,Show Me The Mundy,D.Shiel,GWS,MID,98,96,PMAC
2017,7,Show Me The Mundy,J.Pittard,PTA,DEF,77,74,PMAC
2017,7,Show Me The Mundy,P.Ryder,PTA,FWD,104,139,PMAC
2017,7,Show Me The Mundy,J.Harbrow,GCS,DEF,102,100,PMAC
2017,7,Show Me The Mundy,D.Mundy,FRE,MID,96,85,PMAC
2017,7,Show Me The Mundy,A.Sandilands,FRE,RUC,88,77,PMAC
2017,7,Show Me The Mundy,S.Ross,STK,MID,111,111,PMAC
