SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2018,1,Danger Things,B.Goddard,ESS,MID,106,102
2018,1,Danger Things,D.Byrne-Jones,PTA,DEF,68,84
2018,1,Danger Things,T.Cotchin,RIC,MID,103,94
2018,1,Danger Things,A.Treloar,COL,MID,105,87
2018,1,Danger Things,S.Jacobs,ADE,RUC,103,90
2018,1,Danger Things,E.Betts,ADE,FWD,68,56
2018,1,Danger Things,J.Roughead,HAW,FWD,78,47
2018,1,Danger Things,T.Bell,BRL,FWD,62,60
2018,1,Danger Things,M.Robinson,BRL,FWD,82,83
2018,1,Danger Things,L.Hodge,BRL,DEF,84,93
2018,1,Danger Things,E.Yeo,WCE,DEF,121,109
2018,1,Danger Things,J.Redden,WCE,MID,73,65
2018,1,Danger Things,L.Whitfield,GWS,MID,98,114
2018,1,Danger Things,H.Shaw,GWS,DEF,85,114
2018,1,Danger Things,T.Greene,GWS,FWD,91,131
2018,1,Danger Things,S.Higgins,NTH,MID,89,96
2018,1,Danger Things,M.Williams,NTH,DEF,75,61
2018,1,Danger Things,D.Armitage,STK,MID,58,79
2018,1,Danger Things,P.Dangerfield,GEE,BEN,137,0
2018,1,Danger Things,P.Hanley,GCS,BEN,86,0
2018,1,Danger Things,J.Martin,GCS,BEN,80,76
2018,1,Danger Things,T.Goldstein,NTH,BEN,102,105
2018,2,Danger Things,B.Goddard,ESS,MID,100,71
2018,2,Danger Things,D.Byrne-Jones,PTA,DEF,69,70
2018,2,Danger Things,S.Motlop,PTA,FWD,81,70
2018,2,Danger Things,P.Dangerfield,GEE,MID,135,130
2018,2,Danger Things,J.Martin,GCS,FWD,87,117
2018,2,Danger Things,T.Cotchin,RIC,MID,98,75
2018,2,Danger Things,L.Jong,WBD,FWD,52,34
2018,2,Danger Things,A.Treloar,COL,MID,107,108
2018,2,Danger Things,J.Roughead,HAW,FWD,81,97
2018,2,Danger Things,G.Hewett,SYD,FWD,66,88
2018,2,Danger Things,L.Hodge,BRL,DEF,80,62
2018,2,Danger Things,E.Yeo,WCE,DEF,121,105
2018,2,Danger Things,J.Hunt,MEL,DEF,55,37
2018,2,Danger Things,H.Shaw,GWS,DEF,90,110
2018,2,Danger Things,L.Whitfield,GWS,MID,101,115
2018,2,Danger Things,S.Higgins,NTH,MID,97,120
2018,2,Danger Things,T.Goldstein,NTH,RUC,108,123
2018,2,Danger Things,D.Armitage,STK,MID,64,76
2018,2,Danger Things,P.Hanley,GCS,BEN,88,0
2018,2,Danger Things,S.Jacobs,ADE,BEN,107,116
2018,2,Danger Things,M.Robinson,BRL,BEN,72,0
2018,2,Danger Things,T.Greene,GWS,BEN,89,0
2018,3,Danger Things,B.Goddard,ESS,MID,94,71
2018,3,Danger Things,T.Stewart,GEE,DEF,85,97
2018,3,Danger Things,P.Dangerfield,GEE,MID,128,100
2018,3,Danger Things,P.Hanley,GCS,DEF,80,39
2018,3,Danger Things,J.Martin,GCS,FWD,91,99
2018,3,Danger Things,T.Cotchin,RIC,MID,102,121
2018,3,Danger Things,M.Scharenberg,COL,DEF,65,71
2018,3,Danger Things,A.Treloar,COL,MID,107,105
2018,3,Danger Things,S.Jacobs,ADE,RUC,105,82
2018,3,Danger Things,Z.Fisher,CAR,FWD,72,76
2018,3,Danger Things,J.Roughead,HAW,FWD,77,67
2018,3,Danger Things,G.Hewett,SYD,FWD,58,23
2018,3,Danger Things,M.Robinson,BRL,FWD,76,103
2018,3,Danger Things,E.Yeo,WCE,DEF,104,27
2018,3,Danger Things,H.Shaw,GWS,DEF,87,69
2018,3,Danger Things,L.Whitfield,GWS,MID,95,64
2018,3,Danger Things,S.Higgins,NTH,MID,97,88
2018,3,Danger Things,D.Armitage,STK,MID,61,47
2018,3,Danger Things,D.Tyson,MEL,BEN,75,82
2018,3,Danger Things,T.Greene,GWS,BEN,89,0
