playerName,playerId,teamAbbr,salarySuperCoach,positionSuperCoach,valuePosition,ownershipSuperCoach,pricedAt,age,playerIdVoid,gms,subCount,kicks,handballs,marks,tackles,hitouts,ruckContestPercentage,goals,centreBounceAttendancePercentage,kickins,playOnPercentage,timeOnGroundPercentage,FP,consistency,FPadj,FPfirst,FPsecond,FPreg,FPfin,maxFP,minFP,pointsPerMinute,gm100,gm120,gmSub90,cbaPre,kiPre,poPre,togPre,fpPre,ppmPre,changeOwn,dollarsPerPoint,rankSalary,rankReg,rankAdj,rankFirst,rankSecond
Sam Flanders,CD_I1009260,GCS,641500,DEF/MID,DEF,17.1,119,23,CD_I1009260,22,,17.3,13.6,5.5,2.3,0,0,0.5,31,50,98,83,119,0.142,119,117.5,120.6,119,,161,91,1.15,20,10,0,32,0,,83,65,0.63,-0.2,5391,1,1,1,3,3
Marcus Bontempelli,CD_I297373,WBD,681000,MID,MID,50.4,126.3,29,CD_I297373,24,,13.5,12.3,4,5.4,0,0,1.3,75,0,,84,123.8,0.235,123.8,125.3,127.5,126.4,63,186,63,1.18,20,13,2,67,0,,83,135,1.32,0,5388,1,1,1,2,1
Max Gawn,CD_I290528,MEL,668900,RUC,RUC,18.3,124.1,33,CD_I290528,21,,11.2,7.9,5.2,2.6,34,81,0.5,85,0,,85,124.1,0.251,124.1,129.9,116.4,124.1,,180,72,1.17,16,10,2,68,0,,74,185,2.04,0,5390,1,1,1,1,4
Izak Rankine,CD_I1001195,ADE,521600,FWD,FWD,18.8,96.8,24,CD_I1001195,15,,11.3,6.7,3.2,3.4,0,0,1.9,38,0,,84,96.8,0.243,100.2,101.3,87.8,96.8,,142,49,0.92,5,4,6,29,0,,59,138,1.86,-0.1,5388,3,3,1,2,10
Harry Sheezel,CD_I1023518,NTH,635600,DEF,DEF,55.7,117.9,20,CD_I1023518,21,,15.7,14.1,6.3,3.8,0,0,0.7,31,36,94,85,118,0.188,118,115.2,121,118,,160,73,1.1,18,10,3,13,5,100,81,102,1.05,0.2,5386,2,2,2,4,2
Tristan Xerri,CD_I1004965,NTH,645900,RUC,RUC,54.8,119.8,25,CD_I1004965,23,,8.4,9.5,2.9,7.5,34.5,82,0.3,84,0,,84,119.9,0.194,119.9,108,130.8,119.9,,185,82,1.13,19,9,1,79,0,,85,99,0.97,0,5387,2,2,2,4,1
Jason Horne-Francis,CD_I1011640,PTA,537000,FWD/MID,FWD,52.5,99.6,21,CD_I1011640,24,,15.5,6.2,4.4,3,0,0,1.1,54,0,,79,98.2,0.214,98.2,105.9,94,99.7,87.7,141,46,1,9,4,9,68,0,,80,105,1.12,0.4,5386,1,1,2,1,6
Luke Ryan,CD_I998659,FRE,628300,DEF,DEF,7.8,116.6,29,CD_I998659,23,,20.3,4,8.6,2,0,0,0,0,149,93,92,116.6,0.252,116.6,129.9,102.1,116.6,,197,68,1.03,15,10,4,0,7,100,81,116,1.23,-0.1,5389,3,3,3,2,11
Lachie Neale,CD_I293535,BRL,645900,MID,MID,6.9,119.8,31,CD_I293535,26,,13.6,15.7,4.6,3.3,0,0,0.5,86,0,,86,117.7,0.266,117.7,117.4,121.9,119.9,106,179,68,1.08,20,11,6,71,0,,65,124,1.66,0.1,5387,3,3,3,7,2
Rowan Marshall,CD_I992468,STK,603500,RUC,RUC,4.5,112,29,CD_I992468,23,,14.8,5.9,5.8,4.3,26.4,81,0.7,85,0,,87,112,0.268,112,107.6,116.8,112,,169,51,1.06,16,11,6,75,0,,79,102,1.08,0,5388,3,3,3,5,3
Dylan Moore,CD_I1006314,HAW,526700,FWD,FWD,7.6,97.7,25,CD_I1006314,25,,11.2,8.3,5.3,4,0,0,1.4,16,0,,87,96.5,0.309,96.5,94.8,101,97.7,82,169,44,0.89,10,5,10,,,,,,,0,5391,2,2,3,5,2
Jordan Ridley,CD_I1001026,ESS,552600,DEF,DEF,0.6,102.5,26,CD_I1001026,9,,16,5.7,8.1,1.1,0,0,0.1,0,24,100,85,102.6,0.352,111.3,136.5,92.9,102.6,,162,33,0.96,6,3,3,0,1,100,57,76,1.11,0,5386,11,11,4,1,23
Nick Daicos,CD_I1023261,COL,631400,MID,MID,38.7,117.1,22,CD_I1023261,23,,16.6,14.1,3,3.8,0,0,0.9,74,7,100,85,117.2,0.264,117.2,123.6,110.2,117.2,,186,54,1.08,18,11,4,61,0,,57,102,1.54,0.2,5387,5,5,4,4,14
Toby Nankervis,CD_I298174,RIC,594000,RUC,RUC,1.6,110.2,30,CD_I298174,21,,7.7,8.3,3.3,5.3,32.6,77,0.1,84,0,,80,110.2,0.243,110.2,104.8,116.2,110.2,,159,58,1.11,13,9,6,,,,,,,0,5390,4,4,4,7,5
Luke Jackson,CD_I1009399,FRE,509300,FWD/RUC,FWD,15.8,94.5,23,CD_I1009399,23,,5.7,10.6,2.7,3.1,16.3,51,0.9,49,0,,83,94.5,0.3,94.5,101,87.5,94.5,,178,48,0.93,6,3,11,,,,,,,0,5389,4,4,4,3,11
Dayne Zorko,CD_I261224,BRL,595100,DEF,DEF,2.9,110.4,36,CD_I261224,27,,21,5.4,7.9,3.2,0,0,0.3,2,111,91,83,110.3,0.22,110.3,110.2,110.7,110.4,109.8,161,56,1.05,18,8,4,8,2,0,69,133,1.68,0,5390,5,5,5,5,6
Adam Treloar,CD_I291790,WBD,628200,MID,MID,0.6,116.5,31,CD_I291790,23,,15.1,16.4,3.3,4.7,0,0,0.7,80,0,,83,116.3,0.21,116.3,117.3,115.7,116.6,110,153,58,1.12,17,11,2,80,0,,83,118,1.15,0,5388,7,7,5,8,7
Jarrod Witts,CD_I291975,GCS,581300,RUC,RUC,1.7,107.8,32,CD_I291975,16,,7.1,6.8,2.4,3.9,37.5,80,0.5,84,0,,81,107.9,0.226,107.9,106.4,109.7,107.9,,161,62,1.06,10,4,3,89,0,,75,107,1.16,0,5387,6,6,5,6,7
Jesse Hogan,CD_I296324,GWS,497800,FWD,FWD,2.4,92.4,30,CD_I296324,25,,8.8,3.4,6.5,1.4,0,0,3.1,0,0,,88,94.2,0.339,94.2,88.6,95.8,92.4,115.5,165,32,0.85,10,5,13,,,,,,,0.1,5387,5,5,5,9,4
Jeremy McGovern,CD_I294859,WCE,594100,DEF,DEF,1.3,110.2,32,CD_I294859,19,,15.3,5.4,6,1.4,0.1,0,0.1,0,117,95,84,110.3,0.177,110.1,108.8,112.7,110.3,,155,72,1.05,13,5,3,0,2,100,60,107,1.42,-0.1,5386,6,6,6,7,5
Zak Butters,CD_I1006121,PTA,648900,MID,MID,26.6,120.4,24,CD_I1006121,26,,14.2,12.9,4.7,4.1,0,0,0.5,66,0,,78,112.9,0.273,115.8,121.4,119.4,120.4,55.3,175,41,1.17,17,12,6,8,0,,9,8,0.76,0,5390,2,2,6,5,5
Tim English,CD_I1004592,WBD,581900,RUC,RUC,9.4,108,27,CD_I1004592,23,,8.9,7.6,6,3.8,27,75,0.6,82,0,,85,107.1,0.224,107.1,112.3,102.8,108,87,139,58,1.01,14,8,8,77,0,,85,134,1.27,-0.1,5388,5,5,6,2,11
Brent Daniels,CD_I1002251,GWS,485000,FWD,FWD,1.8,90,25,CD_I1002251,23,,11.2,7.4,3.3,4.9,0,0,1,8,0,,83,88.2,0.341,88.2,77.7,101.2,90,69.5,195,52,0.84,5,3,16,0,0,,42,89,1.72,0,5389,6,6,6,22,1
Jack Sinclair,CD_I994389,STK,592200,DEF/MID,DEF,17.5,109.9,30,CD_I994389,22,,17.9,9.2,5.3,3,0,0,0.3,30,65,94,85,109.9,0.206,109.9,99.5,120.4,109.9,,147,73,1.07,13,8,7,,,,,,,-0.4,5389,7,7,7,14,4
Caleb Serong,CD_I1009420,FRE,623400,MID,MID,16.9,115.7,24,CD_I1009420,23,,13.7,15.7,2.8,5,0,0,0.5,79,0,,82,115.7,0.187,115.7,124.6,106,115.7,,170,84,1.14,17,8,2,76,0,,81,95,1,0.2,5388,8,8,7,3,18
Brodie Grundy,CD_I293957,SYD,574400,RUC,RUC,2.4,106.6,30,CD_I293957,26,,6.9,11.1,2.3,4.7,32.2,76,0.1,79,0,,77,106.2,0.249,106.2,109.5,103.9,106.6,102.7,158,68,1.1,12,8,9,67,0,,60,65,0.95,0,5388,7,7,7,3,10
Jeremy Cameron,CD_I293845,GEE,466100,FWD,FWD,2.7,86.5,31,CD_I293845,24,,11.6,4.8,6,1.7,0,0,2.7,0,0,,96,87,0.33,87,85.5,87.5,86.5,92,143,35,0.71,9,4,12,0,0,,62,50,0.67,0,5388,8,8,7,12,11
