season,round,fixture,matchup,teamID,teamName,coachID,coachName,team_score
2016,1,1,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1574
2016,1,1,t2,201602,We're Not Gwilty,71052,Garter,1623
2016,1,2,t1,201603,Game of Jones,21562,Richo,1737
2016,1,2,t2,201604,Gawn Girl,8258,Chief,1549
2016,1,3,t1,201605,Brave Hartung,45168,Kappaz,1814
2016,1,3,t2,201606,Steele Rebuilding,86078,Lester,1570
2016,1,4,t1,201607,Bontback Mountain,10857,Melons,1780
2016,1,4,t2,201608,Such is Fyfe,300791,Pmac,1600
2016,2,1,t1,201607,Bontback Mountain,10857,Melons,1749
2016,2,1,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1618
2016,2,2,t1,201603,Game of Jones,21562,Richo,1621
2016,2,2,t2,201602,We're Not Gwilty,71052,Garter,1670
2016,2,3,t1,201605,Brave Hartung,45168,Kappaz,1769
2016,2,3,t2,201604,Gawn Girl,8258,Chief,1471
2016,2,4,t1,201606,Steele Rebuilding,86078,Lester,1400
2016,2,4,t2,201608,Such is Fyfe,300791,Pmac,1665
2016,3,1,t1,201607,Bontback Mountain,10857,Melons,1762
2016,3,1,t2,201603,Game of Jones,21562,Richo,1683
2016,3,2,t1,201604,Gawn Girl,8258,Chief,1757
2016,3,2,t2,201606,Steele Rebuilding,86078,Lester,1743
2016,3,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1558
2016,3,3,t2,201608,Such is Fyfe,300791,Pmac,1512
2016,3,4,t1,201605,Brave Hartung,45168,Kappaz,1553
2016,3,4,t2,201602,We're Not Gwilty,71052,Garter,1551
2016,4,1,t1,201607,Bontback Mountain,10857,Melons,1575
2016,4,1,t2,201605,Brave Hartung,45168,Kappaz,1614
2016,4,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1672
2016,4,2,t2,201603,Game of Jones,21562,Richo,1642
2016,4,3,t1,201604,Gawn Girl,8258,Chief,1620
2016,4,3,t2,201608,Such is Fyfe,300791,Pmac,1614
2016,4,4,t1,201606,Steele Rebuilding,86078,Lester,1642
2016,4,4,t2,201602,We're Not Gwilty,71052,Garter,1596
2016,5,1,t1,201607,Bontback Mountain,10857,Melons,1539
2016,5,1,t2,201606,Steele Rebuilding,86078,Lester,1675
2016,5,2,t1,201605,Brave Hartung,45168,Kappaz,1675
2016,5,2,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1554
2016,5,3,t1,201603,Game of Jones,21562,Richo,1550
2016,5,3,t2,201608,Such is Fyfe,300791,Pmac,1685
2016,5,4,t1,201604,Gawn Girl,8258,Chief,1610
2016,5,4,t2,201602,We're Not Gwilty,71052,Garter,1565
2016,6,1,t1,201607,Bontback Mountain,10857,Melons,1582
2016,6,1,t2,201604,Gawn Girl,8258,Chief,1667
2016,6,2,t1,201605,Brave Hartung,45168,Kappaz,1661
2016,6,2,t2,201603,Game of Jones,21562,Richo,1692
2016,6,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1515
2016,6,3,t2,201606,Steele Rebuilding,86078,Lester,1643
2016,6,4,t1,201608,Such is Fyfe,300791,Pmac,1614
2016,6,4,t2,201602,We're Not Gwilty,71052,Garter,1600
2016,7,1,t1,201607,Bontback Mountain,10857,Melons,1675
2016,7,1,t2,201602,We're Not Gwilty,71052,Garter,1674
2016,7,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1207
2016,7,2,t2,201604,Gawn Girl,8258,Chief,1790
2016,7,3,t1,201603,Game of Jones,21562,Richo,1549
2016,7,3,t2,201606,Steele Rebuilding,86078,Lester,1524
2016,7,4,t1,201605,Brave Hartung,45168,Kappaz,1477
2016,7,4,t2,201608,Such is Fyfe,300791,Pmac,1624
2016,8,1,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1525
2016,8,1,t2,201602,We're Not Gwilty,71052,Garter,1663
2016,8,2,t1,201603,Game of Jones,21562,Richo,1797
2016,8,2,t2,201604,Gawn Girl,8258,Chief,1427
2016,8,3,t1,201605,Brave Hartung,45168,Kappaz,1579
2016,8,3,t2,201606,Steele Rebuilding,86078,Lester,1699
2016,8,4,t1,201607,Bontback Mountain,10857,Melons,1546
2016,8,4,t2,201608,Such is Fyfe,300791,Pmac,1807
2016,9,1,t1,201607,Bontback Mountain,10857,Melons,1535
2016,9,1,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1586
2016,9,2,t1,201603,Game of Jones,21562,Richo,1739
2016,9,2,t2,201602,We're Not Gwilty,71052,Garter,1489
2016,9,3,t1,201605,Brave Hartung,45168,Kappaz,1456
2016,9,3,t2,201604,Gawn Girl,8258,Chief,1647
2016,9,4,t1,201606,Steele Rebuilding,86078,Lester,1835
2016,9,4,t2,201608,Such is Fyfe,300791,Pmac,1628
2016,10,1,t1,201607,Bontback Mountain,10857,Melons,1327
2016,10,1,t2,201603,Game of Jones,21562,Richo,1655
2016,10,2,t1,201604,Gawn Girl,8258,Chief,1802
2016,10,2,t2,201606,Steele Rebuilding,86078,Lester,1436
2016,10,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1566
2016,10,3,t2,201608,Such is Fyfe,300791,Pmac,1684
2016,10,4,t1,201605,Brave Hartung,45168,Kappaz,1645
2016,10,4,t2,201602,We're Not Gwilty,71052,Garter,1803
2016,11,1,t1,201607,Bontback Mountain,10857,Melons,1874
2016,11,1,t2,201605,Brave Hartung,45168,Kappaz,1581
2016,11,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1512
2016,11,2,t2,201603,Game of Jones,21562,Richo,1761
2016,11,3,t1,201604,Gawn Girl,8258,Chief,1580
2016,11,3,t2,201608,Such is Fyfe,300791,Pmac,1525
2016,11,4,t1,201606,Steele Rebuilding,86078,Lester,1693
2016,11,4,t2,201602,We're Not Gwilty,71052,Garter,1421
2016,12,1,t1,201607,Bontback Mountain,10857,Melons,1510
2016,12,1,t2,201606,Steele Rebuilding,86078,Lester,1607
2016,12,2,t1,201605,Brave Hartung,45168,Kappaz,1835
2016,12,2,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1482
2016,12,3,t1,201603,Game of Jones,21562,Richo,1539
2016,12,3,t2,201608,Such is Fyfe,300791,Pmac,1672
2016,12,4,t1,201604,Gawn Girl,8258,Chief,1658
2016,12,4,t2,201602,We're Not Gwilty,71052,Garter,1497
2016,13,1,t1,201607,Bontback Mountain,10857,Melons,1452
2016,13,1,t2,201604,Gawn Girl,8258,Chief,1213
2016,13,2,t1,201605,Brave Hartung,45168,Kappaz,1558
2016,13,2,t2,201603,Game of Jones,21562,Richo,1423
2016,13,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1457
2016,13,3,t2,201606,Steele Rebuilding,86078,Lester,1254
2016,13,4,t1,201608,Such is Fyfe,300791,Pmac,1059
2016,13,4,t2,201602,We're Not Gwilty,71052,Garter,1109
2016,14,1,t1,201607,Bontback Mountain,10857,Melons,1318
2016,14,1,t2,201602,We're Not Gwilty,71052,Garter,1416
2016,14,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1198
2016,14,2,t2,201604,Gawn Girl,8258,Chief,946
2016,14,3,t1,201603,Game of Jones,21562,Richo,1212
2016,14,3,t2,201606,Steele Rebuilding,86078,Lester,1244
2016,14,4,t1,201605,Brave Hartung,45168,Kappaz,1591
2016,14,4,t2,201608,Such is Fyfe,300791,Pmac,1615
2016,15,1,t1,201601,Cotch Me If Ya Can,180650,Jmerc,702
2016,15,1,t2,201602,We're Not Gwilty,71052,Garter,1536
2016,15,2,t1,201603,Game of Jones,21562,Richo,876
2016,15,2,t2,201604,Gawn Girl,8258,Chief,1368
2016,15,3,t1,201605,Brave Hartung,45168,Kappaz,773
2016,15,3,t2,201606,Steele Rebuilding,86078,Lester,1411
2016,15,4,t1,201607,Bontback Mountain,10857,Melons,1659
2016,15,4,t2,201608,Such is Fyfe,300791,Pmac,1320
2016,16,1,t1,201607,Bontback Mountain,10857,Melons,1658
2016,16,1,t2,201601,Cotch Me If Ya Can,180650,Jmerc,1457
2016,16,2,t1,201603,Game of Jones,21562,Richo,1601
2016,16,2,t2,201602,We're Not Gwilty,71052,Garter,1635
2016,16,3,t1,201605,Brave Hartung,45168,Kappaz,1609
2016,16,3,t2,201604,Gawn Girl,8258,Chief,1631
2016,16,4,t1,201606,Steele Rebuilding,86078,Lester,1823
2016,16,4,t2,201608,Such is Fyfe,300791,Pmac,1634
2016,17,1,t1,201607,Bontback Mountain,10857,Melons,1740
2016,17,1,t2,201603,Game of Jones,21562,Richo,1547
2016,17,2,t1,201604,Gawn Girl,8258,Chief,1799
2016,17,2,t2,201606,Steele Rebuilding,86078,Lester,1533
2016,17,3,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1483
2016,17,3,t2,201608,Such is Fyfe,300791,Pmac,1633
2016,17,4,t1,201605,Brave Hartung,45168,Kappaz,1764
2016,17,4,t2,201602,We're Not Gwilty,71052,Garter,1509
2016,18,1,t1,201607,Bontback Mountain,10857,Melons,1756
2016,18,1,t2,201605,Brave Hartung,45168,Kappaz,1797
2016,18,2,t1,201601,Cotch Me If Ya Can,180650,Jmerc,1536
