"round","fixture","team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt"
1,1,182,"Coronaviney","Paul",1686,186,"GetRichOrDieTryin","Mark",1657,29,1,0,0,4,4,1,0,0,1686,1657,101.75
1,2,189,"The Full Bonty","Anthony",1662,5524,"The Dragon's Laird","Luke",1720,-58,0,0,1,6,0,0,0,1,1662,1720,96.63
1,3,9806,"HoweIMetYourMother","Lester",1827,9856,"It's always Sonny","Simon",1476,351,1,0,0,1,4,1,0,0,1827,1476,123.78
1,4,9867,"Bad Boys For Fyfe","James",1623,33301,"What's Up, Doch?","Jordan",1721,-98,0,0,1,7,0,0,0,1,1623,1721,94.31
1,1,186,"GetRichOrDieTryin","Mark",1657,182,"Coronaviney","Paul",1686,-29,0,0,1,5,0,0,0,1,1657,1686,98.28
1,2,5524,"The Dragon's Laird","Luke",1720,189,"The Full Bonty","Anthony",1662,58,1,0,0,3,4,1,0,0,1720,1662,103.49
1,3,9856,"It's always Sonny","Simon",1476,9806,"HoweIMetYourMother","Lester",1827,-351,0,0,1,8,0,0,0,1,1476,1827,80.79
1,4,33301,"What's Up, Doch?","Jordan",1721,9867,"Bad Boys For Fyfe","James",1623,98,1,0,0,2,4,1,0,0,1721,1623,106.04
2,1,182,"Coronaviney","Paul",1676,189,"The Full Bonty","Anthony",1653,23,1,0,0,4,8,2,0,0,3362,3310,101.57
2,2,9806,"HoweIMetYourMother","Lester",1658,186,"GetRichOrDieTryin","Mark",1642,16,1,0,0,2,8,2,0,0,3485,3118,111.77
2,3,9867,"Bad Boys For Fyfe","James",1538,5524,"The Dragon's Laird","Luke",1906,-368,0,0,1,8,0,0,0,2,3161,3627,87.15
2,4,33301,"What's Up, Doch?","Jordan",1700,9856,"It's always Sonny","Simon",1659,41,1,0,0,3,8,2,0,0,3421,3282,104.24
2,1,189,"The Full Bonty","Anthony",1653,182,"Coronaviney","Paul",1676,-23,0,0,1,6,0,0,0,2,3315,3396,97.61
2,2,186,"GetRichOrDieTryin","Mark",1642,9806,"HoweIMetYourMother","Lester",1658,-16,0,0,1,5,0,0,0,2,3299,3344,98.65
2,3,5524,"The Dragon's Laird","Luke",1906,9867,"Bad Boys For Fyfe","James",1538,368,1,0,0,1,8,2,0,0,3626,3200,113.31
2,4,9856,"It's always Sonny","Simon",1659,33301,"What's Up, Doch?","Jordan",1700,-41,0,0,1,7,0,0,0,2,3135,3527,88.89
3,1,182,"Coronaviney","Paul",1590,9806,"HoweIMetYourMother","Lester",1679,-89,0,0,1,3,8,2,0,1,4952,4989,99.26
3,2,9867,"Bad Boys For Fyfe","James",1263,189,"The Full Bonty","Anthony",1411,-148,0,0,1,8,0,0,0,3,4424,5038,87.81
3,3,33301,"What's Up, Doch?","Jordan",1277,186,"GetRichOrDieTryin","Mark",1535,-258,0,0,1,4,8,2,0,1,4698,4817,97.53
3,4,9856,"It's always Sonny","Simon",1497,5524,"The Dragon's Laird","Luke",1659,-162,0,0,1,7,0,0,0,3,4632,5186,89.32
3,1,9806,"HoweIMetYourMother","Lester",1679,182,"Coronaviney","Paul",1590,89,1,0,0,2,12,3,0,0,5164,4708,109.69
3,2,189,"The Full Bonty","Anthony",1411,9867,"Bad Boys For Fyfe","James",1263,148,1,0,0,6,4,1,0,2,4726,4659,101.44
3,3,186,"GetRichOrDieTryin","Mark",1535,33301,"What's Up, Doch?","Jordan",1277,258,1,0,0,5,4,1,0,2,4834,4621,104.61
3,4,5524,"The Dragon's Laird","Luke",1659,9856,"It's always Sonny","Simon",1497,162,1,0,0,1,12,3,0,0,5285,4697,112.52
4,1,182,"Coronaviney","Paul",1443,9867,"Bad Boys For Fyfe","James",1468,-25,0,0,1,6,8,2,0,2,6395,6457,99.04
4,2,33301,"What's Up, Doch?","Jordan",1674,9806,"HoweIMetYourMother","Lester",1648,26,1,0,0,3,12,3,0,1,6372,6465,98.56
4,3,9856,"It's always Sonny","Simon",1528,189,"The Full Bonty","Anthony",1558,-30,0,0,1,8,0,0,0,4,6160,6744,91.34
4,4,5524,"The Dragon's Laird","Luke",1700,186,"GetRichOrDieTryin","Mark",1810,-110,0,0,1,1,12,3,0,1,6985,6507,107.35
4,1,9867,"Bad Boys For Fyfe","James",1468,182,"Coronaviney","Paul",1443,25,1,0,0,7,4,1,0,3,5892,6481,90.91
4,2,9806,"HoweIMetYourMother","Lester",1648,33301,"What's Up, Doch?","Jordan",1674,-26,0,0,1,2,12,3,0,1,6812,6382,106.74
4,3,189,"The Full Bonty","Anthony",1558,9856,"It's always Sonny","Simon",1528,30,1,0,0,5,8,2,0,2,6284,6187,101.57
4,4,186,"GetRichOrDieTryin","Mark",1810,5524,"The Dragon's Laird","Luke",1700,110,1,0,0,4,8,2,0,2,6644,6321,105.11
5,1,182,"Coronaviney","Paul",1350,33301,"What's Up, Doch?","Jordan",1602,-252,0,0,1,6,8,2,0,3,7745,8059,96.1
5,2,9856,"It's always Sonny","Simon",1507,9867,"Bad Boys For Fyfe","James",1583,-76,0,0,1,8,0,0,0,5,7667,8327,92.07
5,3,5524,"The Dragon's Laird","Luke",1591,9806,"HoweIMetYourMother","Lester",1646,-55,0,0,1,4,12,3,0,2,8576,8153,105.19
5,4,186,"GetRichOrDieTryin","Mark",1719,189,"The Full Bonty","Anthony",1589,130,1,0,0,3,12,3,0,2,8363,7910,105.73
5,1,33301,"What's Up, Doch?","Jordan",1602,182,"Coronaviney","Paul",1350,252,1,0,0,2,16,4,0,1,7974,7815,102.03
5,2,9867,"Bad Boys For Fyfe","James",1583,9856,"It's always Sonny","Simon",1507,76,1,0,0,7,8,2,0,3,7475,7988,93.58
5,3,9806,"HoweIMetYourMother","Lester",1646,5524,"The Dragon's Laird","Luke",1591,55,1,0,0,1,16,4,0,1,8458,7973,106.08
5,4,189,"The Full Bonty","Anthony",1589,186,"GetRichOrDieTryin","Mark",1719,-130,0,0,1,5,8,2,0,3,7873,7906,99.58
6,1,182,"Coronaviney","Paul",1486,9856,"It's always Sonny","Simon",1754,-268,0,0,1,6,8,2,0,4,9231,9813,94.07
6,2,5524,"The Dragon's Laird","Luke",1428,33301,"What's Up, Doch?","Jordan",1688,-260,0,0,1,4,12,3,0,3,10004,9841,101.66
6,3,186,"GetRichOrDieTryin","Mark",1633,9867,"Bad Boys For Fyfe","James",1519,114,1,0,0,3,16,4,0,2,9996,9429,106.01
6,4,189,"The Full Bonty","Anthony",1541,9806,"HoweIMetYourMother","Lester",1675,-134,0,0,1,5,8,2,0,4,9414,9581,98.26
6,1,9856,"It's always Sonny","Simon",1754,182,"Coronaviney","Paul",1486,268,1,0,0,8,4,1,0,5,9421,9813,96.01
6,2,33301,"What's Up, Doch?","Jordan",1688,5524,"The Dragon's Laird","Luke",1428,260,1,0,0,2,20,5,0,1,9662,9243,104.53
6,3,9867,"Bad Boys For Fyfe","James",1519,186,"GetRichOrDieTryin","Mark",1633,-114,0,0,1,7,8,2,0,4,8994,9621,93.48
6,4,9806,"HoweIMetYourMother","Lester",1675,189,"The Full Bonty","Anthony",1541,134,1,0,0,1,20,5,0,1,10133,9514,106.51
7,1,182,"Coronaviney","Paul",1648,5524,"The Dragon's Laird","Luke",1664,-16,0,0,1,8,8,2,0,5,10879,11477,94.79
7,2,186,"GetRichOrDieTryin","Mark",1645,9856,"It's always Sonny","Simon",1755,-110,0,0,1,3,16,4,0,3,11641,11184,104.09
7,3,189,"The Full Bonty","Anthony",1643,33301,"What's Up, Doch?","Jordan",1547,96,1,0,0,5,12,3,0,4,11057,11128,99.36
7,4,9806,"HoweIMetYourMother","Lester",1578,9867,"Bad Boys For Fyfe","James",1663,-85,0,0,1,1,20,5,0,2,11711,11177,104.78
7,1,5524,"The Dragon's Laird","Luke",1664,182,"Coronaviney","Paul",1648,16,1,0,0,4,16,4,0,3,11668,11489,101.56
7,2,9856,"It's always Sonny","Simon",1755,186,"GetRichOrDieTryin","Mark",1645,110,1,0,0,7,8,2,0,5,11176,11458,97.54
7,3,33301,"What's Up, Doch?","Jordan",1547,189,"The Full Bonty","Anthony",1643,-96,0,0,1,2,20,5,0,2,11209,10886,102.97
7,4,9867,"Bad Boys For Fyfe","James",1663,9806,"HoweIMetYourMother","Lester",1578,85,1,0,0,6,12,3,0,4,10657,11199,95.16
8,1,182,"Coronaviney","Paul",1740,186,"GetRichOrDieTryin","Mark",1512,228,1,0,0,8,12,3,0,5,12619,12989,97.15
8,2,189,"The Full Bonty","Anthony",1803,5524,"The Dragon's Laird","Luke",1834,-31,0,0,1,7,12,3,0,5,12860,12962,99.21
8,3,9806,"HoweIMetYourMother","Lester",1552,9856,"It's always Sonny","Simon",1772,-220,0,0,1,2,20,5,0,3,13263,12949,102.42
