"round","fixture","team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt"
1,1,2016,"At Witts End","Paul",1477,2018,"Surviving J.Kelly","Mark",1657,-180,0,0,1,7,0,0,0,1,1477,1657,89.14
1,2,6510,"The Big Short","Luke",1470,20240,"MakingTheirMarcus","James",1558,-88,0,0,1,5,0,0,0,1,1470,1558,94.35
1,3,20323,"La MacRaena","Anthony",1691,22859,"Ariana Grundy","Lester",1563,128,1,0,0,3,4,1,0,0,1691,1563,108.19
1,4,23345,"Pink Lloyd","Jordan",1657,23413,"The West Wingard","Simon",1235,422,1,0,0,1,4,1,0,0,1657,1235,134.17
1,1,2018,"Surviving J.Kelly","Mark",1657,2016,"At Witts End","Paul",1477,180,1,0,0,2,4,1,0,0,1657,1477,112.19
1,2,20240,"MakingTheirMarcus","James",1558,6510,"The Big Short","Luke",1470,88,1,0,0,4,4,1,0,0,1558,1470,105.99
1,3,22859,"Ariana Grundy","Lester",1563,20323,"La MacRaena","Anthony",1691,-128,0,0,1,6,0,0,0,1,1563,1691,92.43
1,4,23413,"The West Wingard","Simon",1235,23345,"Pink Lloyd","Jordan",1657,-422,0,0,1,8,0,0,0,1,1235,1657,74.53
2,1,2016,"At Witts End","Paul",1693,6510,"The Big Short","Luke",1651,42,1,0,0,6,4,1,0,1,3170,3308,95.83
2,2,20323,"La MacRaena","Anthony",1665,2018,"Surviving J.Kelly","Mark",1464,201,1,0,0,1,8,2,0,0,3356,3027,110.87
2,3,23345,"Pink Lloyd","Jordan",1537,20240,"MakingTheirMarcus","James",1629,-92,0,0,1,3,4,1,0,1,3194,2864,111.52
2,4,23413,"The West Wingard","Simon",1574,22859,"Ariana Grundy","Lester",1642,-68,0,0,1,8,0,0,0,2,2809,3299,85.15
2,1,6510,"The Big Short","Luke",1651,2016,"At Witts End","Paul",1693,-42,0,0,1,7,0,0,0,2,3121,3251,96
2,2,2018,"Surviving J.Kelly","Mark",1464,20323,"La MacRaena","Anthony",1665,-201,0,0,1,4,4,1,0,1,3121,3142,99.33
2,3,20240,"MakingTheirMarcus","James",1629,23345,"Pink Lloyd","Jordan",1537,92,1,0,0,2,8,2,0,0,3187,3007,105.99
2,4,22859,"Ariana Grundy","Lester",1642,23413,"The West Wingard","Simon",1574,68,1,0,0,5,4,1,0,1,3205,3265,98.16
3,1,2016,"At Witts End","Paul",1469,20323,"La MacRaena","Anthony",1679,-210,0,0,1,7,4,1,0,2,4639,4987,93.02
3,2,23345,"Pink Lloyd","Jordan",1488,6510,"The Big Short","Luke",1586,-98,0,0,1,5,4,1,0,2,4682,4450,105.21
3,3,23413,"The West Wingard","Simon",1376,2018,"Surviving J.Kelly","Mark",1550,-174,0,0,1,8,0,0,0,3,4185,4849,86.31
3,4,22859,"Ariana Grundy","Lester",1805,20240,"MakingTheirMarcus","James",1700,105,1,0,0,4,8,2,0,1,5010,4965,100.91
3,1,20323,"La MacRaena","Anthony",1679,2016,"At Witts End","Paul",1469,210,1,0,0,1,12,3,0,0,5035,4496,111.99
3,2,6510,"The Big Short","Luke",1586,23345,"Pink Lloyd","Jordan",1488,98,1,0,0,6,4,1,0,2,4707,4739,99.32
3,3,2018,"Surviving J.Kelly","Mark",1550,23413,"The West Wingard","Simon",1376,174,1,0,0,2,8,2,0,1,4671,4518,103.39
3,4,20240,"MakingTheirMarcus","James",1700,22859,"Ariana Grundy","Lester",1805,-105,0,0,1,3,8,2,0,1,4887,4812,101.56
4,1,2016,"At Witts End","Paul",1496,23345,"Pink Lloyd","Jordan",1559,-63,0,0,1,7,4,1,0,3,6135,6546,93.72
4,2,23413,"The West Wingard","Simon",1651,20323,"La MacRaena","Anthony",1627,24,1,0,0,8,4,1,0,3,5836,6476,90.12
4,3,22859,"Ariana Grundy","Lester",1415,6510,"The Big Short","Luke",1552,-137,0,0,1,6,8,2,0,2,6425,6517,98.59
4,4,20240,"MakingTheirMarcus","James",1688,2018,"Surviving J.Kelly","Mark",1706,-18,0,0,1,5,8,2,0,2,6575,6518,100.87
4,1,23345,"Pink Lloyd","Jordan",1559,2016,"At Witts End","Paul",1496,63,1,0,0,3,8,2,0,2,6241,5946,104.96
4,2,20323,"La MacRaena","Anthony",1627,23413,"The West Wingard","Simon",1651,-24,0,0,1,1,12,3,0,1,6662,6147,108.38
4,3,6510,"The Big Short","Luke",1552,22859,"Ariana Grundy","Lester",1415,137,1,0,0,4,8,2,0,2,6259,6154,101.71
4,4,2018,"Surviving J.Kelly","Mark",1706,20240,"MakingTheirMarcus","James",1688,18,1,0,0,2,12,3,0,1,6377,6206,102.76
5,1,2016,"At Witts End","Paul",1669,23413,"The West Wingard","Simon",1515,154,1,0,0,7,8,2,0,3,7804,8061,96.81
5,2,22859,"Ariana Grundy","Lester",1481,23345,"Pink Lloyd","Jordan",1615,-134,0,0,1,6,8,2,0,3,7906,8132,97.22
5,3,20240,"MakingTheirMarcus","James",1665,20323,"La MacRaena","Anthony",1673,-8,0,0,1,5,8,2,0,3,8240,8191,100.6
5,4,2018,"Surviving J.Kelly","Mark",1613,6510,"The Big Short","Luke",1899,-286,0,0,1,4,12,3,0,2,7990,8105,98.58
5,1,23413,"The West Wingard","Simon",1515,2016,"At Witts End","Paul",1669,-154,0,0,1,8,4,1,0,4,7351,8145,90.25
5,2,23345,"Pink Lloyd","Jordan",1615,22859,"Ariana Grundy","Lester",1481,134,1,0,0,2,12,3,0,2,7856,7427,105.78
5,3,20323,"La MacRaena","Anthony",1673,20240,"MakingTheirMarcus","James",1665,8,1,0,0,1,16,4,0,1,8335,7812,106.69
5,4,6510,"The Big Short","Luke",1899,2018,"Surviving J.Kelly","Mark",1613,286,1,0,0,3,12,3,0,2,8158,7767,105.03
6,1,2016,"At Witts End","Paul",1732,22859,"Ariana Grundy","Lester",2005,-273,0,0,1,7,8,2,0,4,9536,10066,94.73
6,2,20240,"MakingTheirMarcus","James",1881,23413,"The West Wingard","Simon",1528,353,1,0,0,3,12,3,0,3,10121,9719,104.14
6,3,2018,"Surviving J.Kelly","Mark",1680,23345,"Pink Lloyd","Jordan",1483,197,1,0,0,2,16,4,0,2,9670,9588,100.86
6,4,6510,"The Big Short","Luke",1530,20323,"La MacRaena","Anthony",1641,-111,0,0,1,4,12,3,0,3,9688,9408,102.98
6,1,22859,"Ariana Grundy","Lester",2005,2016,"At Witts End","Paul",1732,273,1,0,0,6,12,3,0,3,9911,9864,100.48
6,2,23413,"The West Wingard","Simon",1528,20240,"MakingTheirMarcus","James",1881,-353,0,0,1,8,4,1,0,5,8879,10026,88.56
6,3,23345,"Pink Lloyd","Jordan",1483,2018,"Surviving J.Kelly","Mark",1680,-197,0,0,1,5,12,3,0,3,9339,9107,102.55
6,4,20323,"La MacRaena","Anthony",1641,6510,"The Big Short","Luke",1530,111,1,0,0,1,20,5,0,1,9976,9342,106.79
7,1,2016,"At Witts End","Paul",1640,20240,"MakingTheirMarcus","James",1587,53,1,0,0,7,12,3,0,4,11176,11653,95.91
7,2,2018,"Surviving J.Kelly","Mark",1551,22859,"Ariana Grundy","Lester",1717,-166,0,0,1,5,16,4,0,3,11221,11305,99.26
7,3,6510,"The Big Short","Luke",1829,23413,"The West Wingard","Simon",1376,453,1,0,0,2,16,4,0,3,11517,10784,106.8
7,4,20323,"La MacRaena","Anthony",1524,23345,"Pink Lloyd","Jordan",1617,-93,0,0,1,1,20,5,0,2,11500,10959,104.94
7,1,20240,"MakingTheirMarcus","James",1587,2016,"At Witts End","Paul",1640,-53,0,0,1,6,12,3,0,4,11708,11359,103.07
