"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
290528,448,"Max","Gawn","MEL","RUC",,1,,93,93,93,93,751400,6510,"The Big Short","Luke",TRUE,"scoring","RUC"
293535,74,"Lachie","Neale","BRL","MID",,1,,77,77,77,77,721800,23413,"The West Wingard","Simon",TRUE,"scoring","MID"
296205,642,"Jack","Steele","STK","MID",,1,,91,91,91,91,658000,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID"
996701,466,"Clayton","Oliver","MEL","MID",,1,,122,122,122,122,656700,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID"
295342,666,"Jake","Lloyd","SYD","DEF",,1,,98,98,98,98,656400,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF"
295467,711,"Jack","Macrae","WBD","MID",,1,,118,118,118,118,650100,20323,"La MacRaena","Anthony",TRUE,"scoring","MID"
293957,144,"Brodie","Grundy","COL","RUC",,1,,70,70,70,70,648200,22859,"Ariana Grundy","Lester",TRUE,"scoring","RUC"
298210,467,"Christian","Petracca","MEL","MID",,1,,98,98,98,98,631400,23413,"The West Wingard","Simon",TRUE,"scoring","MID"
297373,689,"Marcus","Bontempelli","WBD","MID",,1,,92,92,92,92,623900,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID"
992016,200,"Zach","Merrett","ESS","MID",,1,,105,105,105,105,620900,2016,"At Witts End","Paul",TRUE,"scoring","MID"
294557,704,"Lachie","Hunter","WBD","MID",,1,,100,100,100,100,618500,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID"
296347,377,"Josh","Kelly","GWS","MID",,1,,98,98,98,98,615600,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID"
270917,317,"Patrick","Dangerfield","GEE","FWD","MID",1,,92,92,92,92,611900,2016,"At Witts End","Paul",TRUE,"scoring","FWD"
291856,421,"Tom","Mitchell","HAW","MID",,1,,135,135,135,135,610000,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID"
291570,231,"Nat","Fyfe","FRE","MID",,1,,109,109,109,109,608300,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID"
293716,65,"Jarryd","Lyons","BRL","MID",,1,,100,100,100,100,604600,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID"
271129,492,"Todd","Goldstein","NTH","RUC",,1,,109,109,109,109,601700,20323,"La MacRaena","Anthony",TRUE,"scoring","RUC"
