"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round.x","projected_points","points","user_team_id","team.x","coach.x","picked","type","position.x","median_score","round.y","pick","order_id","coach.y","player_name","team.y","position.y","position_drafted","time_drafted","DEF","MID","RUC","FWD","score"
290528,448,"Max","Gawn","MEL","RUC",,7,,63,6510,"The Big Short","Luke",TRUE,"scoring","RUC",137,1,1,1,"Kappaz","M.Gawn","MEL","RUC","RUC","2021-04-11 17:13:20",,,1.426,,1.426
293957,144,"Brodie","Grundy","COL","RUC",,7,,144,22859,"Ariana Grundy","Lester",TRUE,"scoring","RUC",135,1,2,2,"Lester","B.Grundy","COL","RUC","RUC","2021-04-11 17:14:10",,,1.306,,1.306
293535,74,"Lachie","Neale","BRL","MID",,7,,,23413,"The West Wingard","Simon",FALSE,"non-scoring","MID",87,1,3,3,"Chief","L.Neale","BRL","MID","MID","2021-04-11 17:14:40",,-1.403,,,-1.403
295342,666,"Jake","Lloyd","SYD","DEF",,7,,109,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF",106,1,4,4,"Jmerc","J.Lloyd","SYD","DEF","DEF","2021-04-11 17:20:01",1.084,,,,1.084
295467,711,"Jack","Macrae","WBD","MID",,7,,107,20323,"La MacRaena","Anthony",TRUE,"scoring","MID",137,1,5,5,"Melons","J.Macrae","WBD","MID","MID","2021-04-11 17:22:08",,2.746,,,2.746
270917,317,"Patrick","Dangerfield","GEE","FWD","MID",7,,,2016,"At Witts End","Paul",FALSE,"non-scoring","FWD",83.5,1,6,6,"Pmac","P.Dangerfield","GEE","FWD MID","FWD","2021-04-11 17:27:00",,-1.694,,-0.487,-0.487
996701,466,"Clayton","Oliver","MEL","MID",,7,,116,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID",116,1,7,7,"Richo","C.Oliver","MEL","MID","MID","2021-04-11 17:31:10",,1.003,,,1.003
297373,689,"Marcus","Bontempelli","WBD","MID",,7,,107,20240,"MakingTheirMarcus","James",TRUE,"scoring","MID",116,1,8,8,"Garter","M.Bontempelli","WBD","MID","MID","2021-04-11 17:32:29",,1.003,,,1.003
290847,586,"Dustin","Martin","RIC","FWD","MID",7,,,6510,"The Big Short","Luke",FALSE,"non-scoring","FWD",90,2,9,1,"Kappaz","D.Martin","RIC","FWD MID","FWD","2021-04-11 17:46:58",,-1.154,,0.103,0.103
296205,642,"Jack","Steele","STK","MID",,7,,91,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID",105,2,10,2,"Lester","J.Steele","STK","MID","MID","2021-04-11 17:47:04",,0.09,,,0.09
298210,467,"Christian","Petracca","MEL","MID",,7,,78,23413,"The West Wingard","Simon",TRUE,"scoring","MID",98,2,11,3,"Chief","C.Petracca","MEL","MID","MID","2021-04-11 17:47:17",,-0.491,,,-0.491
293222,20,"Rory","Laird","ADE","DEF","MID",7,,75,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF",102,2,12,4,"Jmerc","R.Laird","ADE","DEF MID","DEF","2021-04-11 17:55:54",0.652,-0.159,,,0.652
