"id","league_id","user_team_id","round","pick","player_id","position","autopicked","time"
1571847,99,873,1,1,463,"MID",0,"2023-03-13 11:34:39"
1571848,99,874,1,2,699,"MID",0,"2023-03-13 11:34:46"
1571853,99,878,1,3,58,"FWD",0,"2023-03-13 11:34:53"
1571856,99,877,1,4,18,"MID",0,"2023-03-13 11:35:00"
1571870,99,876,1,5,77,"MID",0,"2023-03-13 11:35:13"
1571879,99,872,1,6,294,"MID",0,"2023-03-13 11:35:20"
1571886,99,875,1,7,680,"MID",0,"2023-03-13 11:35:26"
1571887,99,879,1,8,721,"MID",0,"2023-03-13 11:35:32"
1571895,99,873,2,9,222,"MID",0,"2023-03-13 11:35:39"
1571896,99,874,2,10,464,"MID",0,"2023-03-13 11:35:47"
1571897,99,878,2,11,646,"MID",0,"2023-03-13 11:35:55"
1571902,99,877,2,12,446,"RUC",0,"2023-03-13 11:36:01"
1571907,99,876,2,13,347,"DEF",0,"2023-03-13 11:36:11"
1571917,99,872,2,14,432,"DEF",0,"2023-03-13 11:36:18"
1571935,99,875,2,15,198,"MID",0,"2023-03-13 11:36:30"
1571938,99,879,2,16,102,"DEF",0,"2023-03-13 11:36:36"
1571941,99,873,3,17,97,"MID",0,"2023-03-13 11:36:43"
1571942,99,874,3,18,360,"FWD",0,"2023-03-13 11:36:55"
1571944,99,878,3,19,562,"FWD",0,"2023-03-13 11:37:01"
1571951,99,877,3,20,307,"RUC",0,"2023-03-13 11:37:08"
1571952,99,876,3,21,709,"RUC",0,"2023-03-13 11:37:17"
1571959,99,872,3,22,607,"FWD",0,"2023-03-13 11:37:31"
1571974,99,875,3,23,568,"MID",0,"2023-03-13 11:37:39"
1571993,99,879,3,24,635,"RUC",0,"2023-03-13 11:37:46"
1572003,99,873,4,25,229,"RUC",0,"2023-03-13 11:37:55"
1572014,99,874,4,26,533,"FWD",0,"2023-03-13 11:38:02"
1572027,99,878,4,27,7,"DEF",0,"2023-03-13 11:38:10"
1572041,99,877,4,28,645,"DEF",0,"2023-03-13 11:38:21"
1572046,99,876,4,29,201,"MID",0,"2023-03-13 11:38:28"
1572054,99,872,4,30,128,"MID",0,"2023-03-13 11:38:35"
1572057,99,875,4,31,29,"RUC",0,"2023-03-13 11:38:42"
1572062,99,879,4,32,361,"DEF",0,"2023-03-13 11:38:50"
1572066,99,873,5,33,72,"MID",0,"2023-03-13 11:38:57"
1572075,99,874,5,34,141,"DEF",0,"2023-03-13 11:39:04"
1572086,99,878,5,35,263,"MID",0,"2023-03-13 11:39:12"
1572098,99,877,5,36,379,"MID",0,"2023-03-13 11:39:19"
1572110,99,876,5,37,719,"MID",0,"2023-03-13 11:39:29"
1572122,99,872,5,38,369,"MID",0,"2023-03-13 11:39:38"
1572152,99,875,5,39,664,"FWD",0,"2023-03-13 11:39:59"
1572171,99,879,5,40,667,"FWD",0,"2023-03-13 11:40:06"
1572176,99,873,6,41,705,"DEF",0,"2023-03-13 11:40:12"
