"","feed_id","first_name","last_name","team_ff","disposals","dreamteam","supercoach","8","9","10","kicks","handballs","marks","tackles","hitouts","frees_for","frees_against","goals","behinds","gametime","icon_1","desc_1","icon_2","desc_2","25","26","27","28","position","jersey","31","32","33","34","35","36","37","38","39","contested_possessions","clearances","clangers","disposal_effeciency","time_on_ground","metres_gained","bench_flag"
"1",1020895,"Jai","Newcombe","HW","19","94",92,"120","79","111","13","14","7","3","0","0","2","0","0"," Full Time","shovel","%2 Mitchell... %P and %M plus %T... Rotating in midfield and up forward","","","794300","","478200","","Midfielder","3","0","0","0","2.68","2.96","3.45","775000","","","9","7","6","81",75,"503","0"
"2",1023482,"Cam","Mackenzie","HW","16","92",99,"116","75","102","13","11","5","3","0","1","1","1","0"," Full Time","shovel","%P and %M plus %T... %s as well... Rotating in midfield","","","265400","","180300","","","28","0","0","0","12.19","9.16","10.91","288000","","","8","4","4","75",73,"487","0"
"3",297354,"Karl","Amon","HW","14","91",89,"116","77","100","14","9","9","1","0","2","1","0","1"," Full Time","wing","%O and %M plus %s... Playing an outside game","","","877300","","508300","","Midfielder","10","0","0","0","0.70","0.51","0.67","855000","","","5","2","2","69",80,"393","0"
"4",297566,"James","Sicily","HW","19","87",96,"113","73","96","16","6","10","0","0","0","1","0","0"," Full Time","checkers","%P including %K... also %M... In defence on Mihocek","","","875200","","624700","","Forward","6","0","0","0","19.88","26.91","25.52","854000","","","4","0","2","81",93,"468","0"
"5",1002222,"James","Worpel","HW","14","85",101,"108","68","100","19","11","2","1","0","1","2","0","1"," Full Time","shovel","%D and %M plus %s... Playing inside midfield","","","474500","","309300","","Midfielder","5","0","0","0","26.01","9.55","28.89","463000","","","17","9","5","63",67,"624","0"
"6",1017094,"Connor","Macdonald","HW","19","80",89,"100","67","84","13","4","7","0","0","0","0","2","0"," Full Time","pocket","%D with %k by foot... also %M... and kicked %s... Starting forward","","","509300","","279100","","Midfielder","31","0","0","0","0.16","0.99","0.27","497000","","","3","0","1","76",70,"383","0"
"7",291962,"Chad","Wingard","HW","19","80",56,"102","69","88","11","6","9","1","0","0","1","1","1"," Full Time","wing","Scored %s from %G and %D... Rotating midfield and attack","","","508400","","352400","","Forward","20","0","0","0","0.62","0.33","0.93","496000","","","4","1","5","58",77,"198","0"
"8",296254,"Jarman","Impey","HW","13","79",60,"104","61","81","14","4","7","2","0","0","0","0","0"," Full Time","guard","%O with %k by foot... also %M and %T... Playing a half back role","","","561700","","339300","","Forward","4","0","0","0","0.27","0.27","0.30","548000","","","1","0","4","72",78,"301","0"
"9",1017110,"Josh","Ward","HW","18","77",93,"96","65","84","10","8","7","1","0","0","0","1","0"," Full Time","shovel","%D and %M plus %s... Rotating in midfield","","","650400","","351200","","Midfielder","25","0","0","0","0.66","0.70","1.24","634000","","","2","1","0","94",73,"217","0"
"10",1008550,"Will","Day","HW","10","73",88,"92","61","82","10","10","5","2","0","2","1","0","1"," Full Time","shovel","%O and %M plus %T... %s as well... Rotating in midfield","","","551100","","362100","","Back","12","0","0","0","2.87","2.88","3.03","537000","","","9","2","1","80",68,"369","1"
