"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","played","avg","avg3","avg5","price","season"
293957,151,"Brodie","Grundy","COL","RUC",,1,145,179,1,179,179,179,705900,"2020"
290528,469,"Max","Gawn","MEL","RUC",,1,141,93,1,93,93,93,697100,"2020"
295467,755,"Jack","Macrae","WBD","MID",,1,123,103,1,103,103,103,668900,"2020"
293535,76,"Lachie","Neale","BRL","MID",,1,119,157,1,157,157,157,658500,"2020"
291570,244,"Nat","Fyfe","FRE","MID",,1,118,110,1,110,110,110,651600,"2020"
296347,397,"Josh","Kelly","GWS","MID",,1,113,102,1,102,102,102,637700,"2020"
990704,94,"Patrick","Cripps","CAR","MID",,1,120,112,1,112,112,112,635900,"2020"
993834,738,"Josh","Dunkley","WBD","MID",,1,120,67,1,67,67,67,632400,"2020"
291856,440,"Tom","Mitchell","HAW","MID",,1,116,119,1,119,119,119,630900,"2020"
270917,335,"Patrick","Dangerfield","GEE","MID",,1,116,83,1,83,83,83,625500,"2020"
297373,729,"Marcus","Bontempelli","WBD","MID",,1,108,76,1,76,76,76,623000,"2020"
291790,178,"Adam","Treloar","COL","MID",,1,125,,0,0,0,0,615800,"2020"
271129,519,"Todd","Goldstein","NTH","RUC",,1,123,136,1,136,136,136,609400,"2020"
294305,414,"Lachie","Whitfield","GWS","FWD","MID",1,116,109,1,109,109,109,604100,"2020"
992468,668,"Rowan","Marshall","STK","RUC",,1,125,92,1,92,92,92,598700,"2020"
996701,490,"Clayton","Oliver","MEL","MID",,1,105,99,1,99,99,99,593900,"2020"
295342,703,"Jake","Lloyd","SYD","DEF",,1,97,77,1,77,77,77,591400,"2020"
292128,816,"Elliot","Yeo","WCE","MID",,1,119,57,1,57,57,57,584400,"2020"
290801,787,"Andrew","Gaff","WCE","MID",,1,108,119,1,119,119,119,583200,"2020"
250365,553,"Travis","Boak","PTA","MID",,1,102,125,1,125,125,125,582300,"2020"
261224,90,"Dayne","Zorko","BRL","MID",,1,111,52,1,52,52,52,579100,"2020"
260382,700,"Josh P.","Kennedy","SYD","MID",,1,104,129,1,129,129,129,579000,"2020"
992016,211,"Zach","Merrett","ESS","MID",,1,117,111,1,111,111,111,573600,"2020"
250312,616,"Bachar","Houli","RIC","DEF",,1,100,,0,0,0,0,571600,"2020"
290778,714,"Luke","Parker","SYD","MID",,1,93,125,1,125,125,125,570700,"2020"
260257,165,"Scott","Pendlebury","COL","MID",,1,93,109,1,109,109,109,566500,"2020"
297401,6,"Matt","Crouch","ADE","MID",,1,93,68,1,68,68,68,563000,"2020"
240283,789,"Shannon","Hurn","WCE","DEF",,1,114,152,1,152,152,152,562200,"2020"
295898,794,"Tim","Kelly","WCE","MID",,1,112,86,1,86,86,86,561800,"2020"
281065,337,"Mitch","Duncan","GEE","MID",,1,102,120,1,120,120,120,560600,"2020"
270963,36,"Rory","Sloane","ADE","MID",,1,118,123,1,123,123,123,559300,"2020"
998172,411,"Tim","Taranto","GWS","MID",,1,102,,0,0,0,0,555900,"2020"
280921,513,"Ben","Cunnington","NTH","MID",,1,107,185,1,185,185,185,554100,"2020"
294685,415,"Zac","Williams","GWS","DEF",,1,94,,0,0,0,0,551700,"2020"
290746,578,"Scott","Lycett","PTA","RUC",,1,100,70,1,70,70,70,550600,"2020"
290627,628,"Dion","Prestia","RIC","MID",,1,101,118,1,118,118,118,550200,"2020"
291969,378,"Stephen","Coniglio","GWS","MID",,1,89,114,1,114,114,114,549500,"2020"
280078,809,"Luke","Shuey","WCE","MID",,1,105,104,1,104,104,104,548200,"2020"
281007,270,"Michael","Walters","FRE","FWD","MID",1,99,110,1,110,110,110,547200,"2020"
290847,620,"Dustin","Martin","RIC","FWD","MID",1,106,126,1,126,126,126,543000,"2020"
291975,323,"Jarrod","Witts","GCS","RUC",,1,106,50,1,50,50,50,541300,"2020"
295136,736,"Caleb","Daniel","WBD","DEF",,1,104,92,1,92,92,92,537900,"2020"
