"feed_id","round","pick","rank","DEF","MID","RUC","FWD","team","proj"
"297373",1,1,"M1",,"M.Bontempelli",,,"WBD",129.65
"1004592",1,2,"R1",,,"T.English",,"WBD",127.96
"1023261",1,3,"D1","N.Daicos","N.Daicos",,,"COL",116.3
"996701",1,4,"M2",,"C.Oliver",,,"MEL",120.62
"298210",1,5,"M3",,"C.Petracca",,,"MEL",119.48
"297566",1,6,"D2","J.Sicily",,,,"HAW",114.05
"291800",1,7,"D3","T.Stewart",,,,"GEE",113.68
"293222",1,8,"M4",,"R.Laird",,,"ADE",116.86
"992016",2,9,"M5",,"Z.Merrett",,,"ESS",116.32
"290799",2,10,"M6",,"T.Liberatore",,,"WBD",116.05
"992242",2,11,"M7",,"J.Dawson",,,"ADE",115.87
"992468",2,12,"R2",,,"R.Marshall",,"STK",114.35
"993834",2,13,"M8",,"J.Dunkley",,,"BRL",115.24
"1006121",2,14,"M9",,"Z.Butters",,,"PTA",113.83
"998659",2,15,"D4","L.Ryan",,,,"FRE",109.48
"1002267",2,16,"M10",,"L.Davies-Uniacke",,,"NTH",113.64
"1013128",3,17,"M11",,"E.Gulden",,,"SYD",111.3
"1009420",3,18,"M12",,"C.Serong",,,"FRE",111.23
"1009528",3,19,"M13",,"T.Green",,,"GWS",111.21
"994389",3,20,"D5","J.Sinclair",,,,"STK",106.7
"1008436",3,21,"R3",,,"K.Briggs",,"GWS",108.93
"293535",3,22,"M14",,"L.Neale",,,"BRL",110.39
"994295",3,23,"D6","D.Houston",,,,"PTA",106.13
"1002232",3,24,"M15",,"A.Brayshaw",,,"FRE",108.96
"295467",4,25,"F1",,"J.Macrae",,"J.Macrae","WBD",99.91
"1002239",4,26,"M16",,"A.Cerra",,,"CAR",108.32
"993817",4,27,"M17",,"D.Parish",,,"ESS",108.11
"291975",4,28,"R4",,,"J.Witts",,"GCS",106.14
"291790",4,29,"M18",,"A.Treloar",,,"WBD",107.68
"1001299",4,30,"M19",,"C.Rozee",,,"PTA",107.57
"998145",4,31,"R5",,,"S.Darcy",,"FRE",105.47
"998172",4,32,"M20",,"T.Taranto",,,"RIC",106.65
"1009399",5,33,"F2",,,"L.Jackson","L.Jackson","FRE",97.87
"290528",5,34,"R6",,,"M.Gawn",,"MEL",104.45
"298174",5,35,"R7",,,"T.Nankervis",,"RIC",104.33
"996731",5,36,"F3",,,,"C.Curnow","CAR",97.57
"993993",5,37,"F4",,"S.Bolton",,"S.Bolton","RIC",96.74
"1009199",5,38,"M21",,"N.Anderson",,,"GCS",104.91
"297907",5,39,"D7","N.Newman",,,,"CAR",100.19
"1006094",5,40,"M22",,"S.Walsh",,,"CAR",103.2
"1023518",6,41,"D8","H.Sheezel",,,,"NTH",99.52
"295898",6,42,"M23",,"T.Kelly",,,"WCE",102.73
"290847",6,43,"F5",,,,"D.Martin","RIC",94.35
"1009208",6,44,"M24",,"M.Rowell",,,"GCS",102.3
"992049",6,45,"D9","J.Short",,,,"RIC",98.63
"291969",6,46,"M25",,"S.Coniglio",,,"GWS",101.7
"296347",6,47,"M26",,"J.Kelly",,,"GWS",101.63
"295136",6,48,"F6",,"C.Daniel",,"C.Daniel","WBD",92.83
"295518",7,49,"M27",,"S.Docherty",,,"CAR",100.6
"1012014",7,50,"M28",,"Ch.Warner",,,"SYD",100.25
"291902",7,51,"M29",,"J.Viney",,,"MEL",100.14
"1005054",7,52,"M30",,"J.Daicos",,,"COL",99.09
"295342",7,53,"D10","J.Lloyd",,,,"SYD",95.77
"295344",7,54,"F7",,,,"T.Greene","GWS",91
"1006314",7,55,"F8",,,,"D.Moore","HAW",91
"1020895",7,56,"M31",,"J.Newcombe",,,"HAW",98.27
"1001026",8,57,"D11","J.Ridley",,,,"ESS",94.88
"297523",8,58,"R8",,,"R.O'Brien",,"ADE",95.78
"271129",8,59,"R9",,,"T.Goldstein",,"ESS",95.45
"298272",8,60,"M32",,"T.Miller",,,"GCS",97.62
"297401",8,61,"M33",,"M.Crouch",,,"ADE",97.57
"990704",8,62,"M34",,"P.Cripps",,,"CAR",97.52
"294307",8,63,"M35",,"B.Crouch",,,"STK",97.52
