"id","feed_id","player_name","team","pos","avg","adp"
695,"297373","M.Bontempelli","WBD","MID",130,1.9
706,"1004592","T.English","WBD","RUC",128,3.5
138,"1023261","N.Daicos","COL","DEF/MID",116,4
459,"298210","C.Petracca","MEL","MID",119,5.4
20,"293222","R.Laird","ADE","MID",117,9.7
9,"992242","J.Dawson","ADE","MID",116,11
458,"996701","C.Oliver","MEL","MID",121,11.7
197,"992016","Z.Merrett","ESS","MID",116,12.1
425,"297566","J.Sicily","HAW","DEF",114,12.3
526,"1006121","Z.Butters","PTA","MID",114,12.4
629,"992468","R.Marshall","STK","RUC",114,12.6
663,"1013128","E.Gulden","SYD","MID",111,13.2
342,"291800","T.Stewart","GEE","DEF",114,15.1
362,"1009528","T.Green","GWS","MID",111,17.2
54,"993834","J.Dunkley","BRL","MID",115,17.4
717,"290799","T.Liberatore","WBD","MID",116,17.8
443,"290528","M.Gawn","MEL","RUC",104,18.5
483,"1002267","L.Davies-Uniacke","NTH","MID",114,18.9
242,"1009420","C.Serong","FRE","MID",111,21.3
72,"293535","L.Neale","BRL","MID",110,23.9
241,"998659","L.Ryan","FRE","DEF",109,25
215,"1002232","A.Brayshaw","FRE","MID",109,25.1
639,"994389","J.Sinclair","STK","DEF",107,25.1
552,"1001299","C.Rozee","PTA","MID",108,27.5
719,"295467","J.Macrae","WBD","MID/FWD",100,29.5
126,"1006094","S.Walsh","CAR","MID",103,31.3
350,"1008436","K.Briggs","GWS","RUC",109,31.7
537,"994295","D.Houston","PTA","DEF",106,31.9
509,"1023518","H.Sheezel","NTH","DEF",100,32.2
198,"993817","D.Parish","ESS","MID",108,33.5
230,"1009399","L.Jackson","FRE","RUC/FWD",98,33.6
601,"998172","T.Taranto","RIC","MID",107,35
301,"291975","J.Witts","GCS","RUC",106,35.6
93,"1002239","A.Cerra","CAR","MID",108,36.3
257,"1009199","N.Anderson","GCS","MID",105,38.1
221,"998145","S.Darcy","FRE","RUC",105,39.3
566,"993993","S.Bolton","RIC","MID/FWD",97,42.4
255,"1009256","H.Young","FRE","DEF",94,42.7
662,"293957","B.Grundy","SYD","RUC",86,42.7
730,"291790","A.Treloar","WBD","MID",108,43.8
286,"298272","T.Miller","GCS","MID",98,44.1
99,"996731","C.Curnow","CAR","FWD",98,46.2
598,"992049","J.Short","RIC","DEF",99,48
120,"297907","N.Newman","CAR","DEF",100,48.3
690,"1012014","Ch.Warner","SYD","MID",100,49.3
273,"1009260","S.Flanders","GCS","MID/FWD",88,49.4
293,"1009208","M.Rowell","GCS","MID",102,49.6
372,"296347","J.Kelly","GWS","MID",102,49.9
585,"290847","D.Martin","RIC","FWD",94,50.8
762,"295898","T.Kelly","WCE","MID",103,51.9
355,"291969","S.Coniglio","GWS","MID",102,52.4
363,"295344","T.Greene","GWS","FWD",91,53.6
703,"295136","C.Daniel","WBD","MID/FWD",93,53.8
418,"1020895","J.Newcombe","HAW","MID",98,53.9
590,"298174","T.Nankervis","RIC","RUC",104,54.4
202,"1001026","J.Ridley","ESS","DEF",95,55.3
137,"1005054","J.Daicos","COL","MID",99,56.3
97,"990704","P.Cripps","CAR","MID",98,56.6
640,"296205","J.Steele","STK","MID",95,57
671,"295342","J.Lloyd","SYD","DEF",96,57.3
