"id","feed_id","player_name","first_name","last_name","team","pos","avg","adp"
695,"297373","M.Bontempelli","Marcus","Bontempelli","WBD","MID",130,1.9
706,"1004592","T.English","Tim","English","WBD","RUC",128,3.6
138,"1023261","N.Daicos","Nick","Daicos","COL","DEF/MID",116,3.7
459,"298210","C.Petracca","Christian","Petracca","MEL","MID",119,5.4
20,"293222","R.Laird","Rory","Laird","ADE","MID",117,10.1
9,"992242","J.Dawson","Jordan","Dawson","ADE","MID",116,10.6
526,"1006121","Z.Butters","Zak","Butters","PTA","MID",114,12.1
629,"992468","R.Marshall","Rowan","Marshall","STK","RUC",114,12.5
663,"1013128","E.Gulden","Errol","Gulden","SYD","MID",111,12.5
197,"992016","Z.Merrett","Zach","Merrett","ESS","MID",116,12.7
425,"297566","J.Sicily","James","Sicily","HAW","DEF",114,12.8
458,"996701","C.Oliver","Clayton","Oliver","MEL","MID",121,13.3
342,"291800","T.Stewart","Tom","Stewart","GEE","DEF",114,15
443,"290528","M.Gawn","Max","Gawn","MEL","RUC",104,16.3
362,"1009528","T.Green","Tom","Green","GWS","MID",111,16.6
54,"993834","J.Dunkley","Josh","Dunkley","BRL","MID",115,18.1
717,"290799","T.Liberatore","Tom","Liberatore","WBD","MID",116,18.6
483,"1002267","L.Davies-Uniacke","Luke","Davies-Uniacke","NTH","MID",114,18.9
242,"1009420","C.Serong","Caleb","Serong","FRE","MID",111,21.2
72,"293535","L.Neale","Lachie","Neale","BRL","MID",110,24.1
241,"998659","L.Ryan","Luke","Ryan","FRE","DEF",109,25.5
215,"1002232","A.Brayshaw","Andrew","Brayshaw","FRE","MID",109,25.8
639,"994389","J.Sinclair","Jack","Sinclair","STK","DEF",107,26.2
552,"1001299","C.Rozee","Connor","Rozee","PTA","MID",108,27.4
509,"1023518","H.Sheezel","Harry","Sheezel","NTH","DEF",100,29.7
719,"295467","J.Macrae","Jack","Macrae","WBD","MID/FWD",100,30.6
537,"994295","D.Houston","Dan","Houston","PTA","DEF",106,31.3
350,"1008436","K.Briggs","Kieren","Briggs","GWS","RUC",109,32.2
230,"1009399","L.Jackson","Luke","Jackson","FRE","RUC/FWD",98,32.4
198,"993817","D.Parish","Darcy","Parish","ESS","MID",108,34
126,"1006094","S.Walsh","Sam","Walsh","CAR","MID",103,34.9
301,"291975","J.Witts","Jarrod","Witts","GCS","RUC",106,35.3
601,"998172","T.Taranto","Tim","Taranto","RIC","MID",107,35.4
93,"1002239","A.Cerra","Adam","Cerra","CAR","MID",108,38.2
257,"1009199","N.Anderson","Noah","Anderson","GCS","MID",105,39
221,"998145","S.Darcy","Sean","Darcy","FRE","RUC",105,40.2
662,"293957","B.Grundy","Brodie","Grundy","SYD","RUC",86,41
566,"993993","S.Bolton","Shai","Bolton","RIC","MID/FWD",97,41.9
255,"1009256","H.Young","Hayden","Young","FRE","DEF",94,42.7
286,"298272","T.Miller","Touk","Miller","GCS","MID",98,43.8
730,"291790","A.Treloar","Adam","Treloar","WBD","MID",108,46.4
598,"992049","J.Short","Jayden","Short","RIC","DEF",99,46.6
99,"996731","C.Curnow","Charlie","Curnow","CAR","FWD",98,46.8
273,"1009260","S.Flanders","Sam","Flanders","GCS","MID/FWD",88,47
120,"297907","N.Newman","Nic","Newman","CAR","DEF",100,49.4
690,"1012014","Ch.Warner","Chad","Warner","SYD","MID",100,49.7
585,"290847","D.Martin","Dustin","Martin","RIC","FWD",94,50.9
372,"296347","J.Kelly","Josh","Kelly","GWS","MID",102,51.4
293,"1009208","M.Rowell","Matt","Rowell","GCS","MID",102,51.8
363,"295344","T.Greene","Toby","Greene","GWS","FWD",91,51.8
703,"295136","C.Daniel","Caleb","Daniel","WBD","MID/FWD",93,53.4
355,"291969","S.Coniglio","Stephen","Coniglio","GWS","MID",102,54.5
762,"295898","T.Kelly","Tim","Kelly","WCE","MID",103,54.6
418,"1020895","J.Newcombe","Jai","Newcombe","HAW","MID",98,55.6
202,"1001026","J.Ridley","Jordan","Ridley","ESS","DEF",95,56.3
640,"296205","J.Steele","Jack","Steele","STK","MID",95,56.3
97,"990704","P.Cripps","Patrick","Cripps","CAR","MID",98,57.4
671,"295342","J.Lloyd","Jake","Lloyd","SYD","DEF",96,57.7
389,"294305","L.Whitfield","Lachie","Whitfield","GWS","DEF",93,57.8
137,"1005054","J.Daicos","Josh","Daicos","COL","MID",99,58
139,"994185","J.De Goey","Jordan","De Goey","COL","MID",97,58.8
590,"298174","T.Nankervis","Toby","Nankervis","RIC","RUC",104,59.3
101,"295518","S.Docherty","Sam","Docherty","CAR","MID",101,63.2
474,"291902","J.Viney","Jack","Viney","MEL","MID",100,64.7
27,"297523","R.O'Brien","Reilly","O'Brien","ADE","RUC",96,69.1
415,"1006314","D.Moore","Dylan","Moore","HAW","FWD",91,69.4
645,"296422","C.Wilkie","Callum","Wilkie","STK","DEF",94,69.8
666,"298539","I.Heeney","Isaac","Heeney","SYD","FWD",87,70.1
200,"997078","M.Redman","Mason","Redman","ESS","DEF",91,72.7
702,"996708","B.Dale","Bailey","Dale","WBD","DEF",91,75.2
307,"293845","J.Cameron","Jeremy","Cameron","GEE","FWD",83,75.4
615,"294307","B.Crouch","Brad","Crouch","STK","MID",98,76.9
652,"1006028","N.Blakey","Nick","Blakey","SYD","DEF",89,77.8
397,"1008550","W.Day","Will","Day","HAW","MID",97,78.1
67,"1000978","H.McCluggage","Hugh","McCluggage","BRL","MID",94,78.1
160,"298288","D.Moore","Darcy","Moore","COL","DEF",91,79
289,"1007881","W.Powell","Wil","Powell","GCS","DEF",92,81.5
193,"1012013","N.Martin","Nic","Martin","ESS","MID",88,82
643,"1015507","N.Wanganeen-Milera","Nasiah","Wanganeen-Milera","STK","DEF",85,82.1
41,"280506","T.Walker","Taylor","Walker","ADE","FWD",90,83.4
124,"295461","A.Saad","Adam","Saad","CAR","DEF",90,84.4
159,"291856","T.Mitchell","Tom","Mitchell","COL","MID",95,85.2
649,"291776","T.Adams","Taylor","Adams","SYD","MID/FWD",78,85.7
682,"290778","L.Parker","Luke","Parker","SYD","MID",97,86.6
603,"294674","N.Vlastuin","Nick","Vlastuin","RIC","DEF",92,86.7
770,"1023492","H.Reid","Harley","Reid","WCE","MID/FWD",0,86.9
304,"296733","M.Blicavs","Mark","Blicavs","GEE","RUC/MID",92,87.4
148,"1032017","T.Jiath","Tew","Jiath","COL","DEF",0,87.7
315,"281065","M.Duncan","Mitch","Duncan","GEE","DEF",90,90.1
68,"1005521","O.McInerney","Oscar","McInerney","BRL","RUC",94,90.3
31,"1001195","I.Rankine","Izak","Rankine","ADE","FWD",83,90.8
749,"298268","L.Duggan","Liam","Duggan","WCE","DEF",90,91.7
562,"1000223","L.Baker","Liam","Baker","RIC","DEF/FWD",80,92.9
7,"297401","M.Crouch","Matt","Crouch","ADE","MID",98,94.6
86,"261224","D.Zorko","Dayne","Zorko","BRL","MID/FWD",86,94.8
163,"260257","S.Pendlebury","Scott","Pendlebury","COL","MID",94,95.2
133,"990291","D.Cameron","Darcy","Cameron","COL","RUC",92,95.8
594,"1000981","D.Rioli","Daniel","Rioli","RIC","DEF",87,97.1
648,"295340","M.Wood","Mason","Wood","STK","MID",93,98
44,"996059","H.Andrews","Harris","Andrews","BRL","DEF",89,98.7
51,"1006059","K.Coleman","Keidean","Coleman","BRL","DEF",71,99
180,"271129","T.Goldstein","Todd","Goldstein","ESS","RUC",95,99.9
136,"293871","J.Crisp","Jack","Crisp","COL","MID",89,103.4
194,"998102","A.McGrath","Andrew","McGrath","ESS","DEF",87,103.7
228,"291570","N.Fyfe","Nat","Fyfe","FRE","MID/FWD",51,104.3
633,"1023272","M.Owens","Mitch","Owens","STK","FWD",80,104.4
560,"294318","O.Wines","Ollie","Wines","PTA","MID",83,105.5
432,"1002222","J.Worpel","James","Worpel","HAW","MID",90,106.4
725,"1008280","E.Richards","Ed","Richards","WBD","DEF",86,107.2
19,"993946","B.Keays","Ben","Keays","ADE","FWD",81,108.5
530,"280711","C.Dixon","Charlie","Dixon","PTA","FWD",88,108.9
312,"270917","P.Dangerfield","Patrick","Dangerfield","GEE","MID",88,109.4
390,"297354","K.Amon","Karl","Amon","HAW","MID",86,109.9
47,"1002312","Z.Bailey","Zac","Bailey","BRL","MID/FWD",78,110.4
534,"298111","J.Finlayson","Jeremy","Finlayson","PTA","FWD",85,110.5
679,"993905","C.Mills","Callum","Mills","SYD","MID",88,111.2
779,"292128","E.Yeo","Elliot","Yeo","WCE","DEF/MID",80,111.6
367,"993107","H.Himmelberg","Harry","Himmelberg","GWS","DEF",81,111.7
462,"1009378","T.Rivers","Trent","Rivers","MEL","DEF",85,112.6
331,"1004938","G.Miers","Gryan","Miers","GEE","FWD",81,113.4
52,"294518","J.Daniher","Joe","Daniher","BRL","FWD",83,114.6
220,"997033","B.Cox","Brennan","Cox","FRE","DEF",88,116.7
536,"1011640","J.Horne-Francis","Jason","Horne-Francis","PTA","MID",78,117.7
752,"993902","M.Flynn","Matt","Flynn","WCE","RUC",88,119.4
504,"1006193","B.Nyuon","Bigoa","Nyuon","NTH","FWD",0,119.5
16,"1004863","M.Hinge","Mitchell","Hinge","ADE","DEF",85,119.6
167,"1000860","L.Schultz","Lachie","Schultz","COL","FWD",79,119.8
778,"998128","A.Witherden","Alex","Witherden","WCE","DEF",84,122.2
