,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
1,Ruck,,,Tim English,WBD,No,36,16.4,,115,118.7,1,Role: Monitor fitness/injury. Monitor the role of R. Lobb in pre-season.,23.2,23,26,12537,1004592,CD_I1004592,,
2,Mid,,,Marcus Bontempelli,WBD,No,37.7,10.1,,110,117,2,Interrupted pre-season (Minor): ankle surgery in offseason.,20.4,23,28,12269,297373,CD_I297373,,
3,Ruck,,,Rowan Marshall,STK,No,33.1,13.5,,115,115.8,4,,20.6,23,28,12564,992468,CD_I992468,,
4,Mid,,,Clayton Oliver,MEL,No,34.5,6.9,,110,113.8,9,Interrupted pre-season (Minor): Should play opening round.,19.9,13,26,12410,996701,CD_I996701,,
5,Mid,,,Jordan Dawson,ADE,No,34.1,6.5,,107,113.4,7,,21.2,23,26,12516,992242,CD_I992242,,
6,Mid,,,Zach Merrett,ESS,No,33.6,6,,113,112.9,5,,24.2,22,26,12241,992016,CD_I992016,,
7,Mid,,,Errol Gulden,SYD,No,33.2,5.6,,108,112.5,6,,25.6,23,21,12862,1013128,CD_I1013128,,
8,Mid,,,Tim Taranto,RIC,No,33.1,5.5,,105,112.4,12,Role: Scores appear to be impacted by selection of J. Hopper.,20.6,23,25,12504,998172,CD_I998172,,
9,Mid,,,Tom Green,GWS,No,31.3,3.7,,110,110.6,11,,23.8,19,22,12770,1009528,CD_I1009528,,
10,Mid,,,Andrew Brayshaw,FRE,No,31,3.4,,112,110.3,10,,17.8,23,24,12589,1002232,CD_I1002232,,
11,Mid,,,Rory Laird,ADE,No,29.9,2.3,,113,109.2,8,,20.6,22,29,12165,293222,CD_I293222,,
12,Def,Mid,,Nick Daicos,COL,Yes,37.4,9.4,,110,108.8,3,,25.3,20,20,12943,1023261,CD_I1023261,,
13,Mid,,,Caleb Serong,FRE,No,28.8,1.2,,106,108.1,15,,14.3,22,22,12786,1009420,CD_I1009420,,
14,Mid,,,Darcy Parish,ESS,No,27.6,0,,109,106.9,19,,12.5,18,26,12406,993817,CD_I993817,,
15,Mid,,,Christian Petracca,MEL,No,26.7,-0.9,,106,106,16,,15.3,23,27,12430,298210,CD_I298210,,
16,Mid,,,Connor Rozee,PTA,No,26.6,-1,,107,105.9,18,Role: Made club captain for 2024. Main mid w/ Butters & Wines,18.6,23,23,12697,1001299,CD_I1001299,,
17,Mid,,,Adam Treloar,WBD,No,26,-1.6,,98,105.3,30,,21.1,19,30,12054,291790,CD_I291790,,
18,Def,,,James Sicily,HAW,No,33.1,5.1,,96,104.5,13,Role: Average may not be sustainable due to high number of marks. Scores higher when Blanck selected.,31.4,19,28,12332,297566,CD_I297566,,
19,Mid,,,Josh Dunkley,BRL,No,25.1,-2.5,,106,104.4,20,,27,21,26,12408,993834,CD_I993834,,
20,Mid,,,Sam Docherty,CAR,No,25.1,-2.5,,100,104.4,21,"Interrupted pre-season (Minor): foot injury, light training late December.",18.9,20,30,12170,295518,CD_I295518,,
21,Mid,,,Brad Crouch,STK,No,24,-3.6,,100,103.3,27,,20,23,29,12156,294307,CD_I294307,,
22,Mid,,,Tom Liberatore,WBD,No,24,-3.6,,96,103.3,34,,23.9,21,31,11898,290799,CD_I290799,,
23,Ruck,,,Toby Nankervis,RIC,No,19.6,0,,99,102.3,26,,15.4,15,29,12374,298174,CD_I298174,,
24,Def,,,Jack Sinclair,STK,No,30.8,2.8,,101,102.2,14,"Interrupted pre-season (Minor): calf, Expected to play Round 1.",18.8,23,28,12325,994389,CD_I994389,,
25,Mid,,,Stephen Coniglio,GWS,No,22.4,-5.2,,98,101.7,31,,17.5,23,29,12028,291969,CD_I291969,,
26,Mid,,,Noah Anderson,GCS,No,21.2,-6.4,,104,100.5,28,,21,23,22,12767,1009199,CD_I1009199,,
