"id","feed_id","player_name","team","pos","proj"
695,"297373","M.Bontempelli","WBD","MID",129.65
706,"1004592","T.English","WBD","RUC",127.96
458,"996701","C.Oliver","MEL","MID",120.62
459,"298210","C.Petracca","MEL","MID",119.48
20,"293222","R.Laird","ADE","MID",116.86
197,"992016","Z.Merrett","ESS","MID",116.32
138,"1023261","N.Daicos","COL","DEF/MID",116.3
717,"290799","T.Liberatore","WBD","MID",116.05
9,"992242","J.Dawson","ADE","MID",115.87
54,"993834","J.Dunkley","BRL","MID",115.24
629,"992468","R.Marshall","STK","RUC",114.35
425,"297566","J.Sicily","HAW","DEF",114.05
526,"1006121","Z.Butters","PTA","MID",113.83
342,"291800","T.Stewart","GEE","DEF",113.68
483,"1002267","L.Davies-Uniacke","NTH","MID",113.64
663,"1013128","E.Gulden","SYD","MID",111.3
242,"1009420","C.Serong","FRE","MID",111.23
362,"1009528","T.Green","GWS","MID",111.21
72,"293535","L.Neale","BRL","MID",110.39
241,"998659","L.Ryan","FRE","DEF",109.48
215,"1002232","A.Brayshaw","FRE","MID",108.96
350,"1008436","K.Briggs","GWS","RUC",108.93
93,"1002239","A.Cerra","CAR","MID",108.32
198,"993817","D.Parish","ESS","MID",108.11
730,"291790","A.Treloar","WBD","MID",107.68
552,"1001299","C.Rozee","PTA","MID",107.57
639,"994389","J.Sinclair","STK","DEF",106.7
601,"998172","T.Taranto","RIC","MID",106.65
301,"291975","J.Witts","GCS","RUC",106.14
537,"994295","D.Houston","PTA","DEF",106.13
221,"998145","S.Darcy","FRE","RUC",105.47
257,"1009199","N.Anderson","GCS","MID",104.91
443,"290528","M.Gawn","MEL","RUC",104.45
590,"298174","T.Nankervis","RIC","RUC",104.33
126,"1006094","S.Walsh","CAR","MID",103.2
762,"295898","T.Kelly","WCE","MID",102.73
293,"1009208","M.Rowell","GCS","MID",102.3
355,"291969","S.Coniglio","GWS","MID",101.7
372,"296347","J.Kelly","GWS","MID",101.63
101,"295518","S.Docherty","CAR","MID",100.6
690,"1012014","Ch.Warner","SYD","MID",100.25
120,"297907","N.Newman","CAR","DEF",100.19
474,"291902","J.Viney","MEL","MID",100.14
719,"295467","J.Macrae","WBD","MID/FWD",99.91
509,"1023518","H.Sheezel","NTH","DEF",99.52
137,"1005054","J.Daicos","COL","MID",99.09
598,"992049","J.Short","RIC","DEF",98.63
418,"1020895","J.Newcombe","HAW","MID",98.27
230,"1009399","L.Jackson","FRE","RUC/FWD",97.87
286,"298272","T.Miller","GCS","MID",97.62
99,"996731","C.Curnow","CAR","FWD",97.57
97,"990704","P.Cripps","CAR","MID",97.52
615,"294307","B.Crouch","STK","MID",97.52
397,"1008550","W.Day","HAW","MID",97.43
682,"290778","L.Parker","SYD","MID",96.86
566,"993993","S.Bolton","RIC","MID/FWD",96.74
139,"994185","J.De Goey","COL","MID",96.61
27,"297523","R.O'Brien","ADE","RUC",95.78
671,"295342","J.Lloyd","SYD","DEF",95.77
