"Rd","P","T","R","DEF","MID","RUC","FWD","team","avg","proj","flag","Notes"
1,1,1,"M 1",,"M.Bontempelli",,,"WBD",130,117,"F2","Interrupted pre-season (Minor): ankle surgery in offseason."
1,2,1,"D 1","N.Daicos","N.Daicos",,,"COL",116,113,"F0P102",""
1,3,1,"M 2",,"C.Petracca",,,"MEL",119,116,"F1",""
1,4,1,"R 1",,,"T.English",,"WBD",128,108,"F2","Role: Monitor fitness/injury. Monitor the role of R. Lobb in pre-season."
1,5,1,"M 3",,"R.Laird",,,"ADE",117,115,"F3XO",""
1,6,1,"M 4",,"C.Oliver",,,"MEL",121,115,"F1","Interrupted pre-season (Minor): Should play opening round."
1,7,2,"M 5",,"J.Dawson",,,"ADE",116,114,"F3",""
1,8,2,"M 6",,"T.Green",,,"GWS",111,114,"F3AP118",""
2,9,2,"M 7",,"Z.Merrett",,,"ESS",116,114,"F2P111",""
2,10,2,"M 8",,"Z.Butters",,,"PTA",114,114,"F4",""
2,11,2,"M 9",,"J.Dunkley",,,"BRL",115,114,"F3P99",""
2,12,2,"R 2",,,"R.Marshall",,"STK",114,108,"F2",""
2,13,2,"D 2","T.Stewart",,,,"GEE",114,110,"F3XO",""
2,14,2,"D 3","J.Sicily",,,,"HAW",114,110,"F2","Role: Average may not be sustainable due to high number of marks. Scores higher when Blanck selected."
2,15,2,"M 10",,"L.Neale",,,"BRL",110,112,"F3XOP124","Interrupted pre-season (Minor): groin issues, unknown severity."
2,16,2,"M 11",,"L.Davies-Uniacke",,,"NTH",114,112,"F3A","Role: Number one midfielder, Injury prone 2023. Full pre-season for 2024 looking fit."
3,17,2,"F 1",,"J.Macrae",,"J.Macrae","WBD",100,103,"F2O","Interrupted preseason (Moderate): Hamstring injury. Watch role, potential upside if more midfield time."
3,18,2,"R 3",,,"M.Gawn",,"MEL",104,108,"F1XOP185","Role: Sole ruck with Grundy traded to Sydney"
3,19,2,"M 12",,"E.Gulden",,,"SYD",111,112,"F2P133",""
3,20,2,"D 4","J.Sinclair",,,,"STK",107,108,"F2","Interrupted pre-season (Minor): calf, Expected to play Round 1."
3,21,2,"M 13",,"A.Brayshaw",,,"FRE",109,111,"F4",""
3,22,2,"M 14",,"C.Serong",,,"FRE",111,110,"F4P95",""
3,23,2,"M 15",,"T.Liberatore",,,"WBD",116,110,"F2XO",""
3,24,3,"D 5","L.Ryan",,,,"FRE",109,105,"F4P116",""
4,25,3,"M 16",,"D.Parish",,,"ESS",108,109,"F2P123",""
4,26,3,"D 6","D.Houston",,,,"PTA",106,105,"F4P109","Role: Best defender fixture for the season."
4,27,3,"M 17",,"S.Walsh",,,"CAR",103,108,"F2","Interrupted pre-season (Moderate): Back issues (previous injury), may miss games and effect scoring."
4,28,3,"R 4",,,"K.Briggs",,"GWS",109,107,"F3P112",""
4,29,3,"M 18",,"T.Taranto",,,"RIC",107,108,"F0P115","Role: Scores appear to be impacted by selection of J. Hopper."
4,30,3,"M 19",,"C.Rozee",,,"PTA",108,107,"F4P113","Role: Made club captain for 2024. Main mid w/ Butters & Wines"
4,31,3,"D 7","H.Sheezel",,,,"NTH",100,103,"F3","Role: likely playing halfback at start of the season."
4,32,3,"M 20",,"N.Anderson",,,"GCS",105,107,"F0P97",""
5,33,3,"F 2",,"S.Flanders",,"S.Flanders","GCS",88,97,"F0","Role: Set to assume same high scoring role seen in back half of season."
5,34,3,"R 5",,,"J.Witts",,"GCS",106,106,"F0XOP107",""
5,35,3,"M 21",,"T.Miller",,,"GCS",98,106,"F0P116",""
5,36,3,"F 3",,"S.Bolton",,"S.Bolton","RIC",97,95,"F0",""
5,37,3,"D 8","J.Short",,,,"RIC",99,101,"F0P120","Role: set to play pure half back again, which has been better for his scoring."
5,38,4,"D 9","H.Young",,,,"FRE",94,100,"F4P115","Role: Midfield role in 2024, scored mid to high 90s in the role in 2023"
5,39,4,"F 4",,,"L.Jackson","L.Jackson","FRE",98,94,"F4","Injury: concussion, may miss opening round."
5,40,4,"F 5",,,,"D.Martin","RIC",94,94,"F0XOXA","Role: Set for greater mid time but still playing mid/fwd split."
6,41,4,"F 6",,,,"C.Curnow","CAR",98,94,"F2",""
6,42,4,"M 22",,"Ch.Warner",,,"SYD",100,104,"F2",""
6,43,4,"M 23",,"J.Kelly",,,"GWS",102,104,"F3",""
6,44,4,"R 6",,,"B.Grundy",,"SYD",86,105,"F2O","Trade: Sydney - Sole ruck role again."
6,45,4,"F 7",,"C.Daniel",,"C.Daniel","WBD",93,93,"F2",""
6,46,4,"D 10","N.Newman",,,,"CAR",100,98,"F2XO",""
6,47,4,"D 11","J.Ridley",,,,"ESS",95,98,"F2","Role: scoring may be impacted by Nic Martin move."
6,48,4,"D 12","L.Whitfield",,,,"GWS",93,98,"F3OA",""
7,49,4,"M 24",,"A.Treloar",,,"WBD",108,102,"F2XO",""
7,50,4,"M 25",,"M.Rowell",,,"GCS",102,102,"F0",""
7,51,4,"D 13","J.Lloyd",,,,"SYD",96,97,"F2XO",""
7,52,4,"M 26",,"J.Newcombe",,,"HAW",98,102,"F2",""
7,53,4,"M 27",,"A.Cerra",,,"CAR",108,101,"F2A",""
7,54,4,"F 8",,,,"T.Greene","GWS",91,90,"F3XOAP124","Role: Playing forward in 2024 - carried injury in 2023."
7,55,4,"M 28",,"J.Steele",,,"STK",95,100,"F2","Role: Played injured in 2023, average should improve as number 1 mid."
7,56,4,"F 9",,,,"D.Moore","HAW",91,90,"F2","Illness: Glandular fever, could miss several rounds of the season."
8,57,5,"M 29",,"P.Cripps",,,"CAR",98,99,"F2",""
8,58,5,"D 14","M.Duncan",,,,"GEE",90,94,"F3XOA",""
8,59,5,"M 30",,"S.Coniglio",,,"GWS",102,98,"F3XO",""
8,60,5,"R 7",,,"S.Darcy",,"FRE",105,103,"F4","Interrupted pre-season (Moderate): ankle injury in 2023, rehabbing in off season. May miss an opening round."
8,61,5,"M 31",,"S.Docherty",,,"CAR",101,98,"F2XOP97","Interrupted pre-season (Minor): foot injury, light training late December."
8,62,5,"D 15","N.Blakey",,,,"SYD",89,93,"F2",""
8,63,5,"F 10",,,,"I.Heeney","SYD",87,87,"F2",""
8,64,5,"F 11",,,,"J.Finlayson","PTA",85,87,"F4A",""
9,65,5,"M 32",,"W.Day",,,"HAW",97,97,"F2A","Injury: foot stress fracture, may miss 4 weeks at start of season."
9,66,5,"M 33",,"M.Crouch",,,"ADE",98,97,"F3A","Role: Set to assume high midfield role."
9,67,5,"M 34",,"H.McCluggage",,,"BRL",94,97,"F3P162","Role: Will perform better in first half of season with Ashcroft out."
9,68,5,"D 16","B.Dale",,,,"WBD",91,92,"F2","Role: Likely half back - however, rumor switched to forward."
9,69,5,"D 17","A.McGrath",,,,"ESS",87,91,"F2P111","Role: scoring may be impacted by Nic Martin move."
9,70,5,"M 35",,"J.De Goey",,,"COL",97,96,"F0XAP111",""
9,71,5,"M 36",,"J.Viney",,,"MEL",100,95,"F1OAP114","Role: Monitor Oliver presence in 22. Fade if Oliver is starting 2024."
9,72,5,"D 18","A.Saad",,,,"CAR",90,91,"F2OP98",""
10,73,5,"F 12",,,,"J.Cameron","GEE",83,84,"F3XO",""
