"Pos","Pos2","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","Av.24","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","Role.24","Gm.24","Age","Notes"
"Ruck","","Rowan Marshall","STK","30.9","No DPP   No Inj Adjustment.","","","0","","15.6","117.1","115","1","Medium","No","992468","","","","","Ruck","23","29","Interrupted pre-season: Minor back/pelvis stress fracture. Will play Round 1."
"Def","","Harry Sheezel","NTH","47.6","No DPP   No Inj Adjustment.","","","0","","15.6","112.1","108.7","2","Low","No","1023518","","","","","Out.mid","21","20","Role: Midfield role, potential to get forward or go to half back."
"Mid","","Nick Daicos","COL","30.6","No DPP   No Inj Adjustment.","","","0.4","","15.2","104.7","107","3","Low","No","1023261","","","","","In.mid","23","22","Interrupted pre-season: plantar fasciitis, should play Rd1."
"Ruck","","Tristan Xerri","NTH","28.3","No DPP   No Inj Adjustment.","","","0","","15.6","114.5","110.5","4","Medium","No","1004965","","","","","Ruck","23","25","Stand out 2024, sole Ruck, scoring likely the same in 2025."
"Def","","Lachie Whitfield","GWS","45.1","No DPP   No Inj Adjustment.","","","0","","15.6","109.6","109.6","5","Medium","No","294305","","","","","Distributor","25","30",""
"Mid","","Errol Gulden","SYD","32.7","No DPP   No Inj Adjustment.","","","0.3","","15.3","106.8","103.5","6","Low","No","1013128","","","","","Out.mid","26","22","Role: Outside mid but scores in any position. Take in first round of draft."
"Mid","","Zach Merrett","ESS","34.6","No DPP   No Inj Adjustment.","","","0.2","","15.4","108.7","110.5","7","Low","No","992016","","","","","Out.mid","23","29","Most consistent midfielder in the game."
"Mid","","Andrew Brayshaw","FRE","30.5","No DPP   No Inj Adjustment.","","","0.4","","15.2","104.6","114.5","8","Low","No","1002232","","","","","In.mid","23","25","One of the most consistent midfielders, should have consistent inside mid role in 2025."
"Mid","","Marcus Bontempelli","WBD","31.8","No DPP   No Inj Adjustment.","","","0.3","","15.3","105.9","113.5","9","Low","No","297373","","","","","In.mid","24","29",""
"Def","","Luke Ryan","FRE","37.6","No DPP   No Inj Adjustment.","","","0.1","","15.5","102.1","102.2","10","Medium","No","998659","","","","","Distributor","23","28",""
"Mid","","Tom Green","GWS","23.5","Inj Adjust: -2","","","0.7","","14.9","99.8","99.8","11","High","No","1009528","","","","","In.mid","25","24","Injury: Calf, should play round 3 to 4."
"Mid","Fwd","Bailey Smith","GEE","","No DPP   No Inj Adjustment.","","Mid: NA  Fwd: NA","","","","","93.2","12","Medium","Yes","1006130","","","","","","","24","Role: In mid in 2025 after trade. Likely top 5 forward."
"Mid","Fwd","Jason Horne-Francis","PTA","26.1","Mid: 13.5  Fwd: 26.1  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","2","Mid: 2.2  Fwd: 2.0","13.6","87.6","88","13","Low","Yes","1011640","","","","","Out.mid","24","21","Role: Mid with higher forward rotation, talk of higher mid usage in 2025 which will increase scoring."
"Def","","Nic Martin","ESS","42.7","No DPP   No Inj Adjustment.","","","0.1","","15.5","107.2","101.2","14","Low","No","1012013","","","","","Out.mid","23","23","Role: Likely a wing/outside mid fielder mix with forward. Can score in any position, unlikely to hit last years numbers though."
"Def","","Dayne Zorko","BRL","45.9","No DPP   No Inj Adjustment.","","","0","","15.6","110.4","106.8","15","High","No","261224","","","","","Distributor","27","35","Role: Distributor role reported to remain in 2025, however, could change with Coleman's return."
"Mid","","Caleb Serong","FRE","29.9","No DPP   No Inj Adjustment.","","","0.4","","15.2","104","105.3","16","Low","No","1009420","","","","","In.mid","23","23",""
"Def","Mid","Sam Flanders","GCS","43.3","Def: 43.3  Mid: 33.7  No Inj Adjustment.","","Def: Inf  Mid: Inf","0.1","Mid: 0.3  Def: 0.1","15.5","107.8","85","17","Medium","Yes","1009260","","","","","Out.mid","22","23","Interrupted pre-season: Back. Role: Likely outside midfielder, less half back."
"Ruck","","Max Gawn","MEL","25.6","No DPP   No Inj Adjustment.","","","0","","15.6","111.8","99.6","18","High","No","290528","","","","","Ruck","21","33","Fractured larynx mid December. Shouldn't impact pre-season."
"Mid","","Sam Walsh","CAR","31.2","No DPP   No Inj Adjustment.","","","0.4","","15.2","105.3","100.2","19","Low","No","1006094","","","","","In.mid","20","24","Interrupted pre-season: Hamstring, Training early-mid Feb."
"Mid","","Zak Butters","PTA","26.4","No DPP   No Inj Adjustment.","","","0.6","","15","100.5","100.5","20","Medium","No","1006121","","","","","Out.mid","26","24",""
"Fwd","","Dylan Moore","HAW","30.1","No DPP   No Inj Adjustment.","","","1.3","","14.3","91.6","99.5","21","Low","No","1006314","","","","","Gen Fwd","25","25","Top tier forward, early scoring in 2024 impacted by illness. Average should increase."
"Def","Mid","Jack Sinclair","STK","37.4","Def: 37.4  Mid: 27.8  No Inj Adjustment.","","Def: Inf  Mid: Inf","0.2","Mid: 0.5  Def: 0.2","15.4","101.9","101.3","22","Low","Yes","994389","","","","","Distributor","22","29","Interrupted pre-season: Hamstring, likely to play Rd 1."
"Mid","","Jack Steele","STK","32.5","No DPP   No Inj Adjustment.","","","0.3","","15.3","106.6","111.5","23","Low","No","296205","","","","","Out.mid","23","29","Role: Main midfielder, scores well when healthy. Coming off good year."
"Ruck","","Tim English","WBD","17.7","No DPP   No Inj Adjustment.","","","0","","15.6","103.9","103.9","24","Low","No","1004592","","","","","Ruck","23","27","Abdominal strain, likely fine before season starts. Top scorer 2023."
"Mid","","Josh Dunkley","BRL","31.5","No DPP   No Inj Adjustment.","","","0.4","","15.2","105.6","103.4","25","Low","No","993834","","","","","In.mid","27","28",""
"Fwd","","Jack Macrae","STK","8","No DPP   No Inj Adjustment.","","","9.4","","6.2","69.5","87.4","26","Medium","No","295467","","","","","Gen Fwd","19","30","Role: Inside mid, traded to St Kilda. Scoring will increase, likely 90-100 scorer."
"Def","","Nasiah Wanganeen-Milera","STK","33.2","No DPP   No Inj Adjustment.","","","0.3","","15.3","97.7","94.1","27","Low","No","1015507","","","","","Distributor","22","21","Role: Second/top tier defender. Half back distributor."
"Mid","","Jordan Dawson","ADE","31.2","No DPP   No Inj Adjustment.","","","0.4","","15.2","105.3","104.9","28","Low","No","992242","","","","","Out.mid","22","27",""
"Def","","Dan Houston","COL","29.5","No DPP   No Inj Adjustment.","","","0.4","","15.2","94","91","29","Low","No","994295","","","","","Distributor","22","27","Traded to COL. May get scoring bump from higher scoring fantasy team."
"Mid","","Rory Laird","ADE","25.2","No DPP   No Inj Adjustment.","","","0.7","","14.9","99.3","107.8","30","Low","No","293222","","","","","In.mid","23","31","Role: Half Back Distributor. Likely DPP Rd6."
"Def","","Jordan Clark","FRE","32.4","No DPP   No Inj Adjustment.","","","0.3","","15.3","96.9","86.7","31","Low","No","1006152","","","","","Distributor","23","24",""
"Def","","James Sicily","HAW","23.8","No DPP   No Inj Adjustment.","","","0.9","","14.7","88.3","96.9","32","Low","No","297566","","","","","Distributor","22","30","Role: May swing forward in and for games."
"Def","","Callum Mills","SYD","6.1","No DPP   No Inj Adjustment.","","","5.1","","10.5","70.6","93.5","33","Medium","No","993905","","","","","Def","7","27","Role: 2025 Set to resume mid-field role."
"Fwd","","Gryan Miers","GEE","25.5","No DPP   No Inj Adjustment.","","","2.1","","13.5","87","87.2","34","Low","No","1004938","","","","","Gen Fwd","25","25","Consistent scoring mid. Second tier of forward. Playing higher up the ground, getting points off the wing."
"Fwd","","Brent Daniels","GWS","18.5","No DPP   No Inj Adjustment.","","","4.1","","11.5","80","78.9","35","Low","No","1002251","","","","","Gen Fwd","24","25","Second tier of forward, likely half forward connector. May see some mid time."
"Mid","","Noah Anderson","GCS","29.9","No DPP   No Inj Adjustment.","","","0.4","","15.2","104","103.9","36","Low","No","1009199","","","","","Out.mid","23","23","Scores very well in Suns wins, if you think they will win more games his average will naturally increase."
"Mid","Fwd","Liam Baker","WCE","17","Mid: 4.4  Fwd: 17  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","4.5","Mid: 4.5  Fwd: 4.6","11.1","78.5","69.8","37","Medium","Yes","1000223","","","","","Gen Fwd","18","27","Role: defence in pre-season. Can score well if given midfield or distributor role."
"Mid","","Isaac Heeney","SYD","30.4","No DPP   No Inj Adjustment.","","","0.4","","15.2","104.5","96.8","38","Low","No","298539","","","","","In.mid","24","28","Role: Inside mid move in 2024, likely to continue, may see slightly more mid time with Mills playing mid."
"Mid","","Patrick Cripps","CAR","25.5","No DPP   No Inj Adjustment.","","","0.7","","14.9","99.6","101.9","39","Low","No","990704","","","","","In.mid","24","29",""
"Ruck","","Brodie Grundy","SYD","9.8","No DPP   No Inj Adjustment.","","","0","","15.6","96","89","40","Medium","No","293957","","","","","Ruck","26","30","Role: Sole ruck, easily a 90+ average."
"Mid","","Adam Treloar","WBD","24.3","Inj Adjust: -5.3","","","0.4","","15.2","105.2","100","41","Medium","No","291790","","","","","Out.mid","24","31","Injury: Calf. Return End of March."
"Ruck","","Tom De Koning","CAR","0","No DPP   No Inj Adjustment.","","","0","","15.6","86.2","73.7","42","Medium","No","1004912","","","","","Ruck","18","25","Role: Solo ruck will see him likely score in mid to high 90s"
"Mid","","Lachie Neale","BRL","26.3","No DPP   No Inj Adjustment.","","","0.6","","15","100.4","97.3","43","Medium","No","293535","","","","","In.mid","26","31","Interrupted pre-season: coming off planta fascia."
"Fwd","","Izak Rankine","ADE","18.3","No DPP   No Inj Adjustment.","","","4.1","","11.5","79.8","76.7","44","High","No","1001195","","","","","Gen Fwd","15","24","Role: High midfield split, however, risk if kept forward."
"Def","Mid","Max Holmes","GEE","29.8","Def: 29.8  Mid: 20.2  No Inj Adjustment.","","Def: Inf  Mid: Inf","0.4","Mid: 1.2  Def: 0.4","15.2","94.3","83.9","45","Low","Yes","1015889","","","","","Out.mid","25","22","Role: Either midfield or distributor. Scores similar in both roles. Key player for GEE"
"Ruck","","Toby Nankervis","RIC","14.4","No DPP   No Inj Adjustment.","","","0","","15.6","100.6","102.9","46","Medium","No","298174","","","","","Ruck","21","30","Role: Sole ruck, if healthy will score above 100. Body risk."
