"playerName","playerId","teamAbbr","salarySuperCoach","positionSuperCoach","ownershipSuperCoach","pricedAt","age","playerIdVoid","gms","subCount","kicks","handballs","marks","tackles","hitouts","ruckContestPercentage","goals","centreBounceAttendancePercentage","kickins","playOnPercentage","timeOnGroundPercentage","FP","consistency","FPadj","FPfirst","FPsecond","FPreg","FPfin","maxFP","minFP","pointsPerMinute","gm100","gm120","gmSub90","cbaPre","kiPre","poPre","togPre","fpPre","ppmPre","changeOwn","dollarsPerPoint","rankSalary","rankReg","rankAdj","rankFirst","rankSecond","feedID"
"Marcus Bontempelli","CD_I297373","WBD",681000,"MID",50.7,126.3,29,"CD_I297373","24",,"13.5","12.3","4.0","5.4","0.0","0","1.3","75","0",,"84","123.8","0.235","123.8","125.3","127.5","126.4","63.0","186","63","1.18","20","13","2","67","0",,"83","135.0","1.32",0,"5388",1,"1","1","2","1",297373
"Lachie Neale","CD_I293535","BRL",645900,"MID",6.8,119.8,31,"CD_I293535","26",,"13.6","15.7","4.6","3.3","0.0","0","0.5","86","0",,"86","117.7","0.266","117.7","117.4","121.9","119.9","106.0","179","68","1.08","20","11","6","71","0",,"65","124.0","1.66",0,"5387",3,"3","3","7","2",293535
"Sam Flanders","CD_I1009260","GCS",641500,"DEF/MID",17.6,119,23,"CD_I1009260","22",,"17.3","13.6","5.5","2.3","0.0","0","0.5","31","50","98","83","119.0","0.142","119.0","117.5","120.6","119.0",,"161","91","1.15","20","10","0","32","0",,"83","65.0","0.63",0,"5391",4,"4","2","6","3",1009260
"Jack Sinclair","CD_I994389","STK",592200,"DEF/MID",18.5,109.9,30,"CD_I994389","22",,"17.9","9.2","5.3","3.0","0.0","0","0.3","30","65","94","85","109.9","0.206","109.9","99.5","120.4","109.9",,"147","73","1.07","13","8","7",,,,,,,-0.5,"5389",12,"12","12","33","4",994389
"Zak Butters","CD_I1006121","PTA",648900,"MID",26.7,120.4,24,"CD_I1006121","26",,"14.2","12.9","4.7","4.1","0.0","0","0.5","66","0",,"78","112.9","0.273","115.8","121.4","119.4","120.4","55.3","175","41","1.17","17","12","6","8","0",,"9","8.0","0.76",-0.1,"5390",2,"2","6","5","5",1006121
"Andrew Brayshaw","CD_I1002232","FRE",591800,"MID",10.1,109.8,25,"CD_I1002232","23",,"13.3","15.9","4.3","5.1","0.0","0","0.3","70","0",,"83","109.8","0.196","109.8","103.7","116.5","109.8",,"147","73","1.08","16","10","6","52","0",,"79","84.0","0.91",-0.2,"5390",13,"13","13","30","6",1002232
"Adam Treloar","CD_I291790","WBD",628200,"MID",0.6,116.5,31,"CD_I291790","23",,"15.1","16.4","3.3","4.7","0.0","0","0.7","80","0",,"83","116.3","0.21","116.3","117.3","115.7","116.6","110.0","153","58","1.12","17","11","2","80","0",,"83","118.0","1.15",0,"5388",7,"7","5","8","7",291790
"Zach Merrett","CD_I992016","ESS",621100,"MID",8.2,115.2,29,"CD_I992016","23",,"15.7","12.5","4.3","5.0","0.0","0","0.6","80","3","100","84","115.3","0.175","115.3","116.8","113.5","115.3",,"145","74","1.10","18","11","3","68","1","100","83","111.0","1.12",0,"5387",9,"9","8","9","8",992016
"Luke Davies-Uniacke","CD_I1002267","NTH",588000,"MID",6.7,109.1,25,"CD_I1002267","23",,"13.7","14.0","3.7","3.9","0.0","0","0.5","82","0",,"86","109.1","0.209","109.1","104.5","113.4","109.1",,"152","67","1.00","15","6","4","79","0",,"79","36.0","0.38",-0.1,"5390",14,"14","15","28","9",1002267
"Patrick Cripps","CD_I990704","CAR",595300,"MID",8.2,110.4,29,"CD_I990704","24",,"11.1","17.8","2.6","5.4","0.8","5","0.7","79","0",,"83","111.2","0.205","111.2","108.8","112.4","110.5","128.0","144","68","1.06","17","9","6","75","0",,"76","89.0","0.95",0,"5387",11,"11","10","18","10",990704
