"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,1,3,,"Brave Hartung","Luke",1814,,"Steele Rebuilding","Lester",1570,244,1,0,0,1,4,1,0,0,1814,1570,115.54,4.02,0.58729,0.29923,0.15148,0.08232
2016,1,2,,"Game of Jones","Mark",1737,,"Gawn Girl","Simon",1549,188,1,0,0,2,4,1,0,0,1737,1549,112.14,4.05,0.58319,0.29398,0.14853,0.08504
2016,1,4,,"Bontback Mountain","Anthony",1780,,"Such is Fyfe","Paul",1600,180,1,0,0,3,4,1,0,0,1780,1600,111.25,4.03,0.58684,0.29704,0.14935,0.08314
2016,1,1,,"We're Not Gwilty","James",1623,,"Cotch Me If Ya Can","Jordan",1574,49,1,0,0,4,4,1,0,0,1623,1574,103.11,4.09,0.57596,0.28278,0.13983,0.08818
2016,1,1,,"Cotch Me If Ya Can","Jordan",1574,,"We're Not Gwilty","James",1623,-49,0,0,1,5,0,0,0,1,1574,1623,96.98,4.96,0.41552,0.20623,0.10263,0.16612
2016,1,4,,"Such is Fyfe","Paul",1600,,"Bontback Mountain","Anthony",1780,-180,0,0,1,6,0,0,0,1,1600,1780,89.89,4.94,0.41783,0.20825,0.10465,0.16334
2016,1,2,,"Gawn Girl","Simon",1549,,"Game of Jones","Mark",1737,-188,0,0,1,7,0,0,0,1,1549,1737,89.18,4.96,0.41628,0.20505,0.10037,0.16681
2016,1,3,,"Steele Rebuilding","Lester",1570,,"Brave Hartung","Luke",1814,-244,0,0,1,8,0,0,0,1,1570,1814,86.55,4.95,0.41709,0.20744,0.10316,0.16505
2016,2,3,,"Brave Hartung","Luke",1769,,"Gawn Girl","Simon",1471,298,1,0,0,1,8,2,0,0,3583,3041,117.82,3.54,0.67718,0.34838,0.17883,0.04683
2016,2,1,,"Bontback Mountain","Anthony",1749,,"Cotch Me If Ya Can","Jordan",1618,131,1,0,0,2,8,2,0,0,3529,3218,109.66,3.57,0.67111,0.34512,0.17554,0.05003
