id,feed_id,player_name,last_name,team,pos,avg,avg3,avg5,Median,user_team_id,user,Bye,,user_team_id,,,team,
443,290528,M.Gawn,Gawn,MEL,RUC,130.556,128,130.2,133.5,713,Pmac,14,,713,Pmac,,ADE,115
293,1009208,M.Rowell,Rowell,GCS,MID,118.333,94.6667,109,132,719,Kappaz,14,,714,Richo,,BRL,12
666,298539,I.Heeney,Heeney,SYD,FWD/MID,129.556,115.667,122,132,716,Garter,12,,715,Melons,,CAR,14
242,1009420,C.Serong,Serong,FRE,MID,131.556,142.333,130.8,131,713,Pmac,13,,716,Garter,,COL,15
138,1023261,N.Daicos,Daicos,COL,DEF/MID,121.333,141.667,132,129.5,719,Kappaz,15,,717,Lester,,ESS,14
241,998659,L.Ryan,Ryan,FRE,DEF,131.222,138,129.6,128.5,718,Chief,13,,718,Chief,,FRE,13
197,992016,Z.Merrett,Merrett,ESS,MID,121.333,116.333,113.2,127,716,Garter,14,,719,Kappaz,,GCS,14
695,297373,M.Bontempelli,Bontempelli,WBD,MID,121.111,126.333,115.4,125.5,714,Richo,15,,720,Jmerc,,GEE,14
706,1004592,T.English,English,WBD,RUC,114,118.667,105.6,121.5,718,Chief,15,,,,,GWS,12
526,1006121,Z.Butters,Butters,PTA,MID,124.333,117.667,122,121.5,713,Pmac,13,,,,,HAW,15
362,1009528,T.Green,Green,GWS,MID,107.111,93.3333,86.8,120.5,719,Kappaz,12,,,,,MEL,14
273,1009260,S.Flanders,Flanders,GCS,MID/FWD,116.222,113.667,113.4,120,720,Jmerc,14,,,,,NTH,12
640,296205,J.Steele,Steele,STK,MID,115.333,101.333,106.2,119.5,714,Richo,15,,,,,PTA,13
204,998215,W.Setterfield,Setterfield,ESS,MID,106,106,106,119,716,Garter,14,,,,,RIC,15
509,1023518,H.Sheezel,Sheezel,NTH,DEF,114.556,89,107.2,118.5,715,Melons,12,,,,,STK,15
193,1012013,N.Martin,Martin,ESS,DEF/MID,107.556,109.667,108.6,118,713,Pmac,14,,,,,SYD,12
126,1006094,S.Walsh,Walsh,CAR,MID,122,104.667,122,117,720,Jmerc,14,,,,,WBD,15
54,993834,J.Dunkley,Dunkley,BRL,MID,113.778,124,118.4,116.5,720,Jmerc,12,,,,,WCE,14
286,298272,T.Miller,Miller,GCS,MID,115.778,121.333,117,115.5,713,Pmac,14,,,,,,
619,990840,J.Hayes,Hayes,STK,FWD,67.5,67.5,67.5,115,716,Garter,15,,,,,,
20,293222,R.Laird,Laird,ADE,MID,109.667,120.667,103.2,113.5,718,Chief,15,,,,,,
72,293535,L.Neale,Neale,BRL,MID,112.75,106,107.2,112,714,Richo,12,,,,,,
355,291969,S.Coniglio,Coniglio,GWS,MID,98.5,91.3333,96,111,714,Richo,12,,,,,,
779,292128,E.Yeo,Yeo,WCE,DEF/MID,113.125,110,123.4,111,720,Jmerc,14,,,,,,
603,294674,N.Vlastuin,Vlastuin,RIC,DEF,103.667,95.6667,88.6,110.5,714,Richo,15,,,,,,
86,261224,D.Zorko,Zorko,BRL,MID/FWD,109.444,111,115.8,110.5,715,Melons,12,,,,,,
301,291975,J.Witts,Witts,GCS,RUC,103.875,105.667,108.4,110,717,Lester,14,,,,,,
257,1009199,N.Anderson,Anderson,GCS,MID,106.222,104.333,103.6,110,717,Lester,14,,,,,,
7,297401,M.Crouch,Crouch,ADE,MID,107.625,107,101.8,110,720,Jmerc,15,,,,,,
389,294305,L.Whitfield,Whitfield,GWS,DEF,101.111,93,94.6,108.5,717,Lester,12,,,,,,
537,994295,D.Houston,Houston,PTA,DEF,109.333,96.3333,110.2,107.5,714,Richo,13,,,,,,
518,1004965,T.Xerri,Xerri,NTH,RUC,108.111,106,110.6,107.5,720,Jmerc,12,,,,,,
629,992468,R.Marshall,Marshall,STK,RUC,107.111,111.333,101,106.5,720,Jmerc,15,,,,,,
67,1000978,H.McCluggage,McCluggage,BRL,MID,104,104.333,105.8,106.5,715,Melons,12,,,,,,
662,293957,B.Grundy,Grundy,SYD,RUC,111.333,109.333,115.8,106.5,719,Kappaz,12,,,,,,
218,1006152,J.Clark,Clark,FRE,DEF,97.7778,83.6667,90,106.5,719,Kappaz,13,,,,,,
97,990704,P.Cripps,Cripps,CAR,MID,109.778,105.333,113.6,105.5,719,Kappaz,14,,,,,,
123,298290,M.Pittonet,Pittonet,CAR,RUC,93,105.667,93,105.5,714,Richo,14,,,,,,
215,1002232,A.Brayshaw,Brayshaw,FRE,MID,105.667,103.667,101,105,715,Melons,13,,,,,,
766,294859,J.McGovern,McGovern,WCE,DEF,106.889,101.333,95.2,105,713,Pmac,14,,,,,,
342,291800,T.Stewart,Stewart,GEE,DEF,96.625,83.3333,87,104,720,Jmerc,14,,,,,,
255,1009256,H.Young,Young,FRE,DEF/MID,96.1111,96.3333,96.4,104,717,Lester,13,,,,,,
106,294036,G.Hewett,Hewett,CAR,MID,92.8889,70.6667,85.4,104,716,Garter,14,,,,,,
663,1013128,E.Gulden,Gulden,SYD,MID,104.111,100.667,105.8,103.5,713,Pmac,12,,,,,,
730,291790,A.Treloar,Treloar,WBD,MID,114.667,118,120.8,103.5,718,Chief,15,,,,,,
44,996059,H.Andrews,Andrews,BRL,DEF,98.6667,103.333,101.2,103.5,713,Pmac,12,,,,,,
451,281085,S.May,May,MEL,DEF,93.25,113,103.2,103,715,Melons,14,,,,,,
459,298210,C.Petracca,Petracca,MEL,MID,110,107,104,102.5,717,Lester,14,,,,,,
221,998145,S.Darcy,Darcy,FRE,RUC,96,96,96,102,718,Chief,13,,,,,,
133,990291,D.Cameron,Cameron,COL,RUC,93.2222,86.6667,96,102,715,Melons,15,,,,,,
413,1000980,L.Meek,Meek,HAW,RUC,104.714,112.333,103,101.5,713,Pmac,15,,,,,,
690,1012014,Ch.Warner,Warner,SYD,MID,103.222,111.333,102.2,101,717,Lester,12,,,,,,
415,1006314,D.Moore,Moore,HAW,FWD,92.1111,117.333,104.8,101,717,Lester,15,,,,,,
372,296347,J.Kelly,Kelly,GWS,MID,104.778,107,111.4,100.5,716,Garter,12,,,,,,
601,998172,T.Taranto,Taranto,RIC,MID,94.8,106.667,106.25,100,718,Chief,15,,,,,,
717,290799,T.Liberatore,Liberatore,WBD,MID,106.833,112,109.8,99.5,717,Lester,15,,,,,,
560,294318,O.Wines,Wines,PTA,MID,106.375,127.667,112.4,99,719,Kappaz,13,,,,,,
702,996708,B.Dale,Dale,WBD,DEF,96.4444,117,107.6,98,715,Melons,15,,,,,,
749,298268,L.Duggan,Duggan,WCE,DEF,96.6667,104,94.6,98,719,Kappaz,14,,,,,,
652,1006028,N.Blakey,Blakey,SYD,DEF,101.556,90.6667,104.4,98,716,Garter,12,,,,,,
16,1004863,M.Hinge,Hinge,ADE,DEF,93.2222,78,89.6,98,720,Jmerc,15,,,,,,
425,297566,J.Sicily,Sicily,HAW,DEF,94.5,104.667,100.2,97.5,715,Melons,15,,,,,,
289,1007881,W.Powell,Powell,GCS,DEF,93,92.3333,82.2,97.5,716,Garter,14,,,,,,
194,998102,A.McGrath,McGrath,ESS,DEF,103.111,109.333,104.6,97.5,716,Garter,14,,,,,,
325,1015889,M.Holmes,Holmes,GEE,DEF/MID,98.7778,105.333,100.2,97.5,718,Chief,14,,,,,,
594,1000981,D.Rioli,Rioli,RIC,DEF,91.1111,88,95.6,97,720,Jmerc,15,,,,,,
643,1015507,N.Wanganeen-Milera,Wanganeen-Milera,STK,DEF,99.7778,103.333,94.4,97,715,Melons,15,,,,,,
712,294101,J.Johannisen,Johannisen,WBD,DEF,79.2222,52,74.8,97,,,15,,,,,,
115,1000953,H.McKay,McKay,CAR,FWD,97.2222,82.3333,84.2,97,719,Kappaz,14,,,,,,
552,1001299,C.Rozee,Rozee,PTA,MID,99,69.6667,97.2,96.5,715,Melons,13,,,,,,
590,298174,T.Nankervis,Nankervis,RIC,RUC,100.5,92.6667,99.6,96,716,Garter,15,,,,,,
762,295898,T.Kelly,Kelly,WCE,MID,93.5556,82,93.8,96,717,Lester,14,,,,,,
483,1002267,L.Davies-Uniacke,Davies-Uniacke,NTH,MID,97.7778,103.667,99.8,95.5,718,Chief,12,,,,,,
87,296294,B.Acres,Acres,CAR,MID,98.3333,106.667,103.8,95.5,713,Pmac,14,,,,,,
